Trait1	Trait2	Intercept	Intercept_SE	GC	GC_SE	PValue	sid_pair	Trait1_name	Trait2_name	sex1	sex2	pair_sids	pair_name	est	est_se	stat	rg1_p	rg1_p_adj
a1m	a1f	1.0095	0.008	0.8486	0.0522	1.7645e-59	a1m:a1f	Insomnia (requested) 35835914	Insomnia (requested) 35835914	male	female	a1m:a1f	Insomnia (requested) 35835914:Insomnia (requested) 35835914	0.8486	0.0522	2.90038314176245	0.00186353390324371	0.00517648306456586
a7m	a7f	0.9552	0.0075	0.8698	0.0739	5.4322e-32	a7m:a7f	Parkinson's disease (requested) 33901317	Parkinson's disease (requested) 33901317	male	female	a7m:a7f	Parkinson's disease (requested) 33901317:Parkinson's disease (requested) 33901317	0.8698	0.0739	1.76184032476319	0.0390481397314697	0.0750925764066725
157m	159f	0.8227	0.0088	0.8869	0.0324	2.2401e-165	157m:159f	Hip circumference  (atlas) 25673412	Hip circumference  (atlas) 25673412	male	female	157m:159f	Hip circumference  (atlas) 25673412:Hip circumference  (atlas) 25673412	0.8869	0.0324	3.49074074074074	0.000240841714315888	0.000860148979699602
49m	48f	0.9704	0.0073	0.8869	0.0571	1.7568e-54	49m:48f	Age at first birth  (atlas) 27798627	Age at first birth  (atlas) 27798627	male	female	49m:48f	Age at first birth  (atlas) 27798627:Age at first birth  (atlas) 27798627	0.8869	0.0571	1.98073555166375	0.0238104688202704	0.0496051433755633
a21m	a21f	0.9888	0.0075	0.8873	0.0668	2.6596e-40	a21m:a21f	Grip strength measurement/ Muscle weakness (requested) 33510174	Grip strength measurement/ Muscle weakness (requested) 33510174	male	female	a21m:a21f	Grip strength measurement/ Muscle weakness (requested) 33510174:Grip strength measurement/ Muscle weakness (requested) 33510174	0.8873	0.0668	1.68712574850299	0.045789587476277	0.084795532363476
144m	145f	0.7342	0.0079	0.8883	0.0192	0	144m:145f	Body Mass Index  (atlas) 25673413	Body Mass Index  (atlas) 25673413	male	female	144m:145f	Body Mass Index  (atlas) 25673413:Body Mass Index  (atlas) 25673413	0.8883	0.0192	5.81770833333333	2.98299411640343e-09	4.97165686067238e-08
52m	51f	0.9746	0.0063	0.8935	0.0996	2.8759e-19	52m:51f	Number of children ever born  (atlas) 27798627	Number of children ever born  (atlas) 27798627	male	female	52m:51f	Number of children ever born  (atlas) 27798627:Number of children ever born  (atlas) 27798627	0.8935	0.0996	1.06927710843374	0.142472411208496	0.2095182517772
ch4m	ch4f	0.9972	0.0065	0.9037	0.1969	4.4122e-06	ch4m:ch4f	Performance IQ (requested) 35998220	Performance IQ (requested) 35998220	male	female	ch4m:ch4f	Performance IQ (requested) 35998220:Performance IQ (requested) 35998220	0.9037	0.1969	0.489080751650584	0.312392264069677	0.40181384416289
169m	171f	0.8144	0.008	0.9052	0.0304	5.7436e-195	169m:171f	Waist circumference  (atlas) 25673412	Waist circumference  (atlas) 25673412	male	female	169m:171f	Waist circumference  (atlas) 25673412:Waist circumference  (atlas) 25673412	0.9052	0.0304	3.11842105263158	0.000909114230171316	0.00267386538285681
l2m	l2f	1.0728	0.0277	0.9102	0.0142	0	l2m:l2f	LDL (requested) 36575460	LDL (requested) 36575460	male	female	l2m:l2f	LDL (requested) 36575460:LDL (requested) 36575460	0.9102	0.0142	6.32394366197183	1.27485358782314e-10	6.37426793911569e-09
a29m	a29f	1.0146	0.0078	0.9162	0.0299	1.0957e-205	a29m:a29f	Multisite chronic pain (requested) 33830993	Multisite chronic pain (requested) 33830993	male	female	a29m:a29f	Multisite chronic pain (requested) 33830993:Multisite chronic pain (requested) 33830993	0.9162	0.0299	2.80267558528428	0.0025340310227538	0.00666850269145737
163m	165f	0.8716	0.0097	0.9175	0.0326	1.9095e-174	163m:165f	Hip circumference (adjusted for BMI) (atlas) 25673412	Hip circumference (adjusted for BMI) (atlas) 25673412	male	female	163m:165f	Hip circumference (adjusted for BMI) (atlas) 25673412:Hip circumference (adjusted for BMI) (atlas) 25673412	0.9175	0.0326	2.53067484662577	0.00569216643165761	0.0135527772182324
a30m	a30f	0.951	0.0085	0.9175	0.0226	0	a30m:a30f	Educational attainment (requested) 27225129	Educational attainment (requested) 27225129	male	female	a30m:a30f	Educational attainment (requested) 27225129:Educational attainment (requested) 27225129	0.9175	0.0226	3.65044247787611	0.000130894467266603	0.000545393613610847
a22m	a22f	1.0204	0.0079	0.9181	0.0349	6.2653e-153	a22m:a22f	Snoring (requested) 32060260	Snoring (requested) 32060260	male	female	a22m:a22f	Snoring (requested) 32060260:Snoring (requested) 32060260	0.9181	0.0349	2.34670487106017	0.00947012523602537	0.0215230119000577
r9m	r9f	1.0093	0.0063	0.9211	0.1419	8.4901e-11	r9m:r9f	Carotid intima-media thickness (requested) 31801372	Carotid intima-media thickness (requested) 31801372	male	female	r9m:r9f	Carotid intima-media thickness (requested) 31801372:Carotid intima-media thickness (requested) 31801372	0.9211	0.1419	0.556025369978858	0.289096755789369	0.390671291607255
136m	137f	0.8258	0.0073	0.924	0.0335	4.8678e-167	136m:137f	Weight  (atlas) 23754948	Weight  (atlas) 23754948	male	female	136m:137f	Weight  (atlas) 23754948:Weight  (atlas) 23754948	0.924	0.0335	2.26865671641791	0.0116446048423653	0.0253143583529681
bm5m	bm5f	1.0051	0.0076	0.9279	0.0743	9.2279e-36	bm5m:bm5f	Left Caudate (requested) NA	Left Caudate (requested) NA	male	female	bm5m:bm5f	Left Caudate (requested) NA:Left Caudate (requested) NA	0.9279	0.0743	0.970390309555855	0.165925988543675	0.237037126490964
a8m	a8f	1.0459	0.0111	0.9323	0.0205	0	a8m:a8f	Type 2 diabetes (requested) 30297969	Type 2 diabetes (requested) 30297969	male	female	a8m:a8f	Type 2 diabetes (requested) 30297969:Type 2 diabetes (requested) 30297969	0.9323	0.0205	3.30243902439024	0.000479239621619683	0.00159746540539894
l1m	l1f	1.1043	0.032	0.9416	0.0097	0	l1m:l1f	HDL (requested) 36575460	HDL (requested) 36575460	male	female	l1m:l1f	HDL (requested) 36575460:HDL (requested) 36575460	0.9416	0.0097	6.02061855670103	8.68758924362227e-10	2.17189731090557e-08
126m	127f	0.8266	0.0109	0.9504	0.0253	9.0022e-309	126m:127f	Height  (atlas) 23754948	Height  (atlas) 23754948	male	female	126m:127f	Height  (atlas) 23754948:Height  (atlas) 23754948	0.9504	0.0253	1.96047430830039	0.0249701890047034	0.0499403780094069
l3m	l3f	1.1118	0.0305	0.9516	0.0128	0	l3m:l3f	TC (requested) 36575460	TC (requested) 36575460	male	female	l3m:l3f	TC (requested) 36575460:TC (requested) 36575460	0.9516	0.0128	3.78125	7.80214370542857e-05	0.000354642895701299
r4m	r4f	0.9991	0.0061	0.9575	0.0963	2.6877e-23	r4m:r4f	PTSD (requested) 31594949	PTSD (requested) 31594949	male	female	r4m:r4f	PTSD (requested) 31594949:PTSD (requested) 31594949	0.9575	0.0963	0.441329179646936	0.329487352213569	0.40181384416289
l4m	l4f	1.0791	0.0283	0.9605	0.0104	0	l4m:l4f	logTG (requested) 36575460	logTG (requested) 36575460	male	female	l4m:l4f	logTG (requested) 36575460:logTG (requested) 36575460	0.9605	0.0104	3.79807692307692	7.29115363812815e-05	0.000354642895701299
r10m	r10f	0.9694	0.0088	0.9699	0.188	2.4645e-07	r10m:r10f	Major Depression (requested) 31206164	Major Depression (requested) 31206164	male	female	r10m:r10f	Major Depression (requested) 31206164:Major Depression (requested) 31206164	0.9699	0.188	0.160106382978723	0.436398636575719	0.454581913099707
bm6m	bm6f	1.0084	0.0086	0.979	0.0898	1.0829e-27	bm6m:bm6f	Left Putamen (requested) NA	Left Putamen (requested) NA	male	female	bm6m:bm6f	Left Putamen (requested) NA:Left Putamen (requested) NA	0.979	0.0898	0.233853006681515	0.407549548444244	0.444423931393522
ch1m	ch1f	0.9981	0.0067	0.9812	0.1961	5.5993e-07	ch1m:ch1f	Nonword reading (requested) 35998220	Nonword reading (requested) 35998220	male	female	ch1m:ch1f	Nonword reading (requested) 35998220:Nonword reading (requested) 35998220	0.9812	0.1961	0.0958694543600206	0.46181212734848	0.471236864641306
l5m	l5f	1.0901	0.0298	0.9926	0.0162	0	l5m:l5f	nonHDL (requested) 36575460	nonHDL (requested) 36575460	male	female	l5m:l5f	nonHDL (requested) 36575460:nonHDL (requested) 36575460	0.9926	0.0162	0.456790123456788	0.323910952699567	0.40181384416289
r5m	r5f	1.0583	0.01	0.9944	0.0243	0	r5m:r5f	Schizophrenia (requested) 35396580	Schizophrenia (requested) 35396580	male	female	r5m:r5f	Schizophrenia (requested) 35396580:Schizophrenia (requested) 35396580	0.9944	0.0243	0.230452674897121	0.40887001688204	0.444423931393522
ADr1um	ADr1uf	1.0059	0.0307	1.0047	0.7817	0.1987	ADr1um:ADr1uf	Alzheimer's Disease (requested) NA	Alzheimer's Disease (requested) NA	male	female	ADr1um:ADr1uf	Alzheimer's Disease (requested) NA:Alzheimer's Disease (requested) NA	1.0047	0.7817	0.00601253677881531	0.49760135931852	0.49760135931852
bm7m	bm7f	1.0081	0.0082	1.0242	0.0909	1.9521e-29	bm7m:bm7f	Right Putamen (requested) NA	Right Putamen (requested) NA	male	female	bm7m:bm7f	Right Putamen (requested) NA:Right Putamen (requested) NA	1.0242	0.0909	0.266226622662266	0.395032340366063	0.444423931393522
bm8m	bm8f	1.0018	0.0067	1.0299	0.1545	2.6471e-11	bm8m:bm8f	CC Central (requested) NA	CC Central (requested) NA	male	female	bm8m:bm8f	CC Central (requested) NA:CC Central (requested) NA	1.0299	0.1545	0.193527508090615	0.423272932452945	0.450290353673345
ch6m	ch6f	1.0026	0.0063	1.0443	0.1802	6.7675e-09	ch6m:ch6f	Word reading (requested) 35998220	Word reading (requested) 35998220	male	female	ch6m:ch6f	Word reading (requested) 35998220:Word reading (requested) 35998220	1.0443	0.1802	0.245837957824639	0.40290383622954	0.444423931393522
4373m	4374f	1.018	0.0076	1.0473	0.1267	1.3819e-16	4373m:4374f	Free thyroxine (FT4) (atlas) 30367059	Free thyroxine (FT4) (atlas) 30367059	male	female	4373m:4374f	Free thyroxine (FT4) (atlas) 30367059:Free thyroxine (FT4) (atlas) 30367059	1.0473	0.1267	0.373322809786897	0.35445410092802	0.421969167771452
a13m	a13f	0.992	0.0087	1.053	0.0422	1.0587e-137	a13m:a13f	Cardiovascular disease (requested) 36474045	Cardiovascular disease (requested) 36474045	male	female	a13m:a13f	Cardiovascular disease (requested) 36474045:Cardiovascular disease (requested) 36474045	1.053	0.0422	1.25592417061611	0.104571732129728	0.163393331452701
ch5m	ch5f	0.9946	0.0064	1.1368	0.3036	2e-04	ch5m:ch5f	Spelling (requested) 35998220	Spelling (requested) 35998220	male	female	ch5m:ch5f	Spelling (requested) 35998220:Spelling (requested) 35998220	1.1368	0.3036	0.450592885375494	0.326141497648626	0.40181384416289
a9m	a9f	1.0583	0.0087	1.2019	0.1304	3.0351e-20	a9m:a9f	ADHD (requested) 29325848	ADHD (requested) 29325848	male	female	a9m:a9f	ADHD (requested) 29325848:ADHD (requested) 29325848	1.2019	0.1304	1.54831288343558	0.0607734920412357	0.108524092930778
4370m	4371f	1.0239	0.0084	1.3204	0.2451	7.1532e-08	4370m:4371f	Thyroid-stimulating hormone  (atlas) 30367059	Thyroid-stimulating hormone  (atlas) 30367059	male	female	4370m:4371f	Thyroid-stimulating hormone  (atlas) 30367059:Thyroid-stimulating hormone  (atlas) 30367059	1.3204	0.2451	1.30722154222766	0.0955687406484442	0.154143130078136
