geneset	count	crossd
GOBP_REGULATION_OF_GLYCOGEN_STARCH_SYNTHASE_ACTIVITY	1	Anatomical
GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_STARCH_SYNTHASE_ACTIVITY	1	Anatomical
GOBP_NEGATIVE_REGULATION_OF_CENTROSOME_DUPLICATION	1	Disease
GOBP_ISOLEUCINE_TRANSPORT	1	Disease
GOBP_HISTONE_UBIQUITINATION	1	Disease
GOBP_HISTONE_H2A_UBIQUITINATION	1	Disease
GOBP_ACYLGLYCEROL_TRANSPORT	1	Disease
GOBP_AUTOCRINE_SIGNALING	1	Disease
GOBP_HISTONE_H2A_MONOUBIQUITINATION	1	Disease
GOBP_HISTONE_H2A_K119_MONOUBIQUITINATION	1	Disease
GOBP_NEGATIVE_REGULATION_OF_CENTRIOLE_REPLICATION	1	Disease
GOBP_LEUKOCYTE_AGGREGATION	1	Disease
GOBP_REGULATION_OF_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY	1	Disease
GOBP_POSITIVE_REGULATION_OF_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY	1	Disease
GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	1	Disease
GOBP_CONSTITUTIVE_HETEROCHROMATIN_FORMATION	1	Disease
GOBP_NEUTROPHIL_DIFFERENTIATION	1	Disease
GOBP_SPHINGOMYELIN_METABOLIC_PROCESS	1	Disease
GOBP_SPHINGOMYELIN_BIOSYNTHETIC_PROCESS	1	Disease
GOBP_INTRACELLULAR_SPHINGOLIPID_HOMEOSTASIS	1	Disease
GOBP_NEGATIVE_REGULATION_OF_DENDRITE_DEVELOPMENT	1	Disease
GOBP_MRNA_3_END_PROCESSING_BY_STEM_LOOP_BINDING_AND_CLEAVAGE	1	Disease
GOBP_TOLL_SIGNALING_PATHWAY	1	Disease
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS	1	Disease
GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	1	Disease
GOBP_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	1	Disease
GOBP_CHROMOSOME_ATTACHMENT_TO_THE_NUCLEAR_ENVELOPE	1	Disease
GOBP_PHOSPHAGEN_METABOLIC_PROCESS	1	Metabolic
GOBP_SNRNA_CATABOLIC_PROCESS	1	Metabolic
GOBP_CHOLESTEROL_EFFLUX	1	Metabolic
GOBP_PROTEIN_CONTAINING_COMPLEX_REMODELING	1	Metabolic
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	1	Metabolic
GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION	1	Metabolic
GOBP_CHOLESTEROL_STORAGE	1	Metabolic
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_STORAGE	1	Metabolic
GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_REMODELING	1	Metabolic
GOBP_MEMBRANE_FUSION_INVOLVED_IN_VIRAL_ENTRY_INTO_HOST_CELL	1	Metabolic
GOBP_REVERSE_CHOLESTEROL_TRANSPORT	1	Metabolic
GOBP_LIPID_HOMEOSTASIS	1	Metabolic
GOBP_ACYLGLYCEROL_HOMEOSTASIS	1	Metabolic
GOBP_STEROL_HOMEOSTASIS	1	Metabolic
GOBP_PROTEIN_LIPID_COMPLEX_SUBUNIT_ORGANIZATION	1	Metabolic
GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS	1	Metabolic
GOBP_POSITIVE_REGULATION_OF_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION	1	Metabolic
GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE	1	Metabolic
GOBP_PROTEIN_LOCALIZATION_TO_CILIARY_TRANSITION_ZONE	1	Metabolic
GOBP_RNA_SECONDARY_STRUCTURE_UNWINDING	1	Metabolic
GOBP_REGULATION_OF_ISOMERASE_ACTIVITY	1	Metabolic
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	1	Metabolic
GOBP_INTERLEUKIN_18_PRODUCTION	1	Metabolic
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_18_PRODUCTION	1	Metabolic
GOBP_MEIOTIC_CYTOKINESIS	1	Metabolic
GOBP_G_QUADRUPLEX_DNA_UNWINDING	1	Metabolic
GOBP_POSITIVE_REGULATION_OF_RNA_EXPORT_FROM_NUCLEUS	1	Metabolic
