sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	pair_m_f_	pair_m_f_inv
ef_clinical_c_I20	clinical_c_I20	I20 Angina pectoris (elena)	I20 Angina pectoris	245494	238537	6957	female	elena	I20 Angina pectoris	I20 Angina pectoris (elena) [female]	NA	I20 Angina pectoris (elena) NA	ef_clinical_c_I20 em_clinical_c_I20	em_clinical_c_I20 ef_clinical_c_I20	Disease	em_clinical_c_I20:ef_clinical_c_I20	ef_clinical_c_I20:em_clinical_c_I20
ef_clinical_c_I21	clinical_c_I21	I21 Acute myocardial infarction (elena)	I21 Acute myocardial infarction	245494	243535	1959	female	elena	I21 Acute myocardial infarction	I21 Acute myocardial infarction (elena) [female]	NA	I21 Acute myocardial infarction (elena) NA	ef_clinical_c_I21 em_clinical_c_I21	em_clinical_c_I21 ef_clinical_c_I21	Disease	em_clinical_c_I21:ef_clinical_c_I21	ef_clinical_c_I21:em_clinical_c_I21
ef_clinical_c_I25	clinical_c_I25	I25 Chronic ischaemic heart disease (elena)	I25 Chronic ischaemic heart disease	245494	237714	7780	female	elena	I25 Chronic ischaemic heart disease	I25 Chronic ischaemic heart disease (elena) [female]	NA	I25 Chronic ischaemic heart disease (elena) NA	ef_clinical_c_I25 em_clinical_c_I25	em_clinical_c_I25 ef_clinical_c_I25	Disease	em_clinical_c_I25:ef_clinical_c_I25	ef_clinical_c_I25:em_clinical_c_I25
ef_clinical_c_I26	clinical_c_I26	I26 Pulmonary embolism (elena)	I26 Pulmonary embolism	245494	243736	1758	female	elena	I26 Pulmonary embolism	I26 Pulmonary embolism (elena) [female]	NA	I26 Pulmonary embolism (elena) NA	ef_clinical_c_I26 em_clinical_c_I26	em_clinical_c_I26 ef_clinical_c_I26	Disease	em_clinical_c_I26:ef_clinical_c_I26	ef_clinical_c_I26:em_clinical_c_I26
ef_clinical_c_I34	clinical_c_I34	I34 Nonrheumatic mitral valve disorders (elena)	I34 Nonrheumatic mitral valve disorders	245494	244413	1081	female	elena	I34 Nonrheumatic mitral valve disorders	I34 Nonrheumatic mitral valve disorders (elena) [female]	NA	I34 Nonrheumatic mitral valve disorders (elena) NA	ef_clinical_c_I34 em_clinical_c_I34	em_clinical_c_I34 ef_clinical_c_I34	Disease	em_clinical_c_I34:ef_clinical_c_I34	ef_clinical_c_I34:em_clinical_c_I34
ef_clinical_c_I44	clinical_c_I44	I44 Atrioventricular and left bundle-branch block (elena)	I44 Atrioventricular and left bundle-branch block	245494	244112	1382	female	elena	I44 Atrioventricular and left bundle-branch block	I44 Atrioventricular and left bundle-branch block (elena) [female]	NA	I44 Atrioventricular and left bundle-branch block (elena) NA	ef_clinical_c_I44 em_clinical_c_I44	em_clinical_c_I44 ef_clinical_c_I44	Disease	em_clinical_c_I44:ef_clinical_c_I44	ef_clinical_c_I44:em_clinical_c_I44
ef_clinical_c_I47	clinical_c_I47	I47 Paroxysmal tachycardia (elena)	I47 Paroxysmal tachycardia	245494	243879	1615	female	elena	I47 Paroxysmal tachycardia	I47 Paroxysmal tachycardia (elena) [female]	NA	I47 Paroxysmal tachycardia (elena) NA	ef_clinical_c_I47 em_clinical_c_I47	em_clinical_c_I47 ef_clinical_c_I47	Disease	em_clinical_c_I47:ef_clinical_c_I47	ef_clinical_c_I47:em_clinical_c_I47
ef_clinical_c_I50	clinical_c_I50	I50 Heart failure (elena)	I50 Heart failure	245494	243755	1739	female	elena	I50 Heart failure	I50 Heart failure (elena) [female]	NA	I50 Heart failure (elena) NA	ef_clinical_c_I50 em_clinical_c_I50	em_clinical_c_I50 ef_clinical_c_I50	Disease	em_clinical_c_I50:ef_clinical_c_I50	ef_clinical_c_I50:em_clinical_c_I50
ef_clinical_c_I80	clinical_c_I80	I80 Phlebitis and thrombophlebitis (elena)	I80 Phlebitis and thrombophlebitis	245494	243608	1886	female	elena	I80 Phlebitis and thrombophlebitis	I80 Phlebitis and thrombophlebitis (elena) [female]	NA	I80 Phlebitis and thrombophlebitis (elena) NA	ef_clinical_c_I80 em_clinical_c_I80	em_clinical_c_I80 ef_clinical_c_I80	Disease	em_clinical_c_I80:ef_clinical_c_I80	ef_clinical_c_I80:em_clinical_c_I80
ef_clinical_c_I83	clinical_c_I83	I83 Varicose veins of lower extremities (elena)	I83 Varicose veins of lower extremities	245494	237532	7962	female	elena	I83 Varicose veins of lower extremities	I83 Varicose veins of lower extremities (elena) [female]	NA	I83 Varicose veins of lower extremities (elena) NA	ef_clinical_c_I83 em_clinical_c_I83	em_clinical_c_I83 ef_clinical_c_I83	Disease	em_clinical_c_I83:ef_clinical_c_I83	ef_clinical_c_I83:em_clinical_c_I83
ef_clinical_c_I84	clinical_c_I84	I84 Haemorrhoids (elena)	I84 Haemorrhoids	245494	232224	13270	female	elena	I84 Haemorrhoids	I84 Haemorrhoids (elena) [female]	NA	I84 Haemorrhoids (elena) NA	ef_clinical_c_I84 em_clinical_c_I84	em_clinical_c_I84 ef_clinical_c_I84	Disease	em_clinical_c_I84:ef_clinical_c_I84	ef_clinical_c_I84:em_clinical_c_I84
ef_clinical_c_J32	clinical_c_J32	J32 Chronic sinusitis (elena)	J32 Chronic sinusitis	245494	244096	1398	female	elena	J32 Chronic sinusitis	J32 Chronic sinusitis (elena) [female]	NA	J32 Chronic sinusitis (elena) NA	ef_clinical_c_J32 em_clinical_c_J32	em_clinical_c_J32 ef_clinical_c_J32	Disease	em_clinical_c_J32:ef_clinical_c_J32	ef_clinical_c_J32:em_clinical_c_J32
ef_clinical_c_J33	clinical_c_J33	J33 Nasal polyp (elena)	J33 Nasal polyp	245494	244316	1178	female	elena	J33 Nasal polyp	J33 Nasal polyp (elena) [female]	NA	J33 Nasal polyp (elena) NA	ef_clinical_c_J33 em_clinical_c_J33	em_clinical_c_J33 ef_clinical_c_J33	Disease	em_clinical_c_J33:ef_clinical_c_J33	ef_clinical_c_J33:em_clinical_c_J33
ef_clinical_c_J44	clinical_c_J44	J44 Other chronic obstructive pulmonary disease (elena)	J44 Other chronic obstructive pulmonary disease	245494	241349	4145	female	elena	J44 Other chronic obstructive pulmonary disease	J44 Other chronic obstructive pulmonary disease (elena) [female]	NA	J44 Other chronic obstructive pulmonary disease (elena) NA	ef_clinical_c_J44 em_clinical_c_J44	em_clinical_c_J44 ef_clinical_c_J44	Disease	em_clinical_c_J44:ef_clinical_c_J44	ef_clinical_c_J44:em_clinical_c_J44
ef_clinical_c_J45	clinical_c_J45	J45 Asthma (elena)	J45 Asthma	245494	228192	17302	female	elena	J45 Asthma	J45 Asthma (elena) [female]	NA	J45 Asthma (elena) NA	ef_clinical_c_J45 em_clinical_c_J45	em_clinical_c_J45 ef_clinical_c_J45	Disease	em_clinical_c_J45:ef_clinical_c_J45	ef_clinical_c_J45:em_clinical_c_J45
ef_clinical_c_K20	clinical_c_K20	K20 Oesophagitis (elena)	K20 Oesophagitis	245494	240739	4755	female	elena	K20 Oesophagitis	K20 Oesophagitis (elena) [female]	NA	K20 Oesophagitis (elena) NA	ef_clinical_c_K20 em_clinical_c_K20	em_clinical_c_K20 ef_clinical_c_K20	Disease	em_clinical_c_K20:ef_clinical_c_K20	ef_clinical_c_K20:em_clinical_c_K20
ef_clinical_c_K21	clinical_c_K21	K21 Gastro-oesophageal reflux disease (elena)	K21 Gastro-oesophageal reflux disease	245494	231598	13896	female	elena	K21 Gastro-oesophageal reflux disease	K21 Gastro-oesophageal reflux disease (elena) [female]	NA	K21 Gastro-oesophageal reflux disease (elena) NA	ef_clinical_c_K21 em_clinical_c_K21	em_clinical_c_K21 ef_clinical_c_K21	Disease	em_clinical_c_K21:ef_clinical_c_K21	ef_clinical_c_K21:em_clinical_c_K21
ef_clinical_c_K25	clinical_c_K25	K25 Gastric ulcer (elena)	K25 Gastric ulcer	245494	243148	2346	female	elena	K25 Gastric ulcer	K25 Gastric ulcer (elena) [female]	NA	K25 Gastric ulcer (elena) NA	ef_clinical_c_K25 em_clinical_c_K25	em_clinical_c_K25 ef_clinical_c_K25	Disease	em_clinical_c_K25:ef_clinical_c_K25	ef_clinical_c_K25:em_clinical_c_K25
ef_clinical_c_K29	clinical_c_K29	K29 Gastritis and duodenitis (elena)	K29 Gastritis and duodenitis	245494	229381	16113	female	elena	K29 Gastritis and duodenitis	K29 Gastritis and duodenitis (elena) [female]	NA	K29 Gastritis and duodenitis (elena) NA	ef_clinical_c_K29 em_clinical_c_K29	em_clinical_c_K29 ef_clinical_c_K29	Disease	em_clinical_c_K29:ef_clinical_c_K29	ef_clinical_c_K29:em_clinical_c_K29
ef_clinical_c_K30	clinical_c_K30	K30 Dyspepsia (elena)	K30 Dyspepsia	245494	237156	8338	female	elena	K30 Dyspepsia	K30 Dyspepsia (elena) [female]	NA	K30 Dyspepsia (elena) NA	ef_clinical_c_K30 em_clinical_c_K30	em_clinical_c_K30 ef_clinical_c_K30	Disease	em_clinical_c_K30:ef_clinical_c_K30	ef_clinical_c_K30:em_clinical_c_K30
ef_clinical_c_K40	clinical_c_K40	K40 Inguinal hernia (elena)	K40 Inguinal hernia	245494	244355	1139	female	elena	K40 Inguinal hernia	K40 Inguinal hernia (elena) [female]	NA	K40 Inguinal hernia (elena) NA	ef_clinical_c_K40 em_clinical_c_K40	em_clinical_c_K40 ef_clinical_c_K40	Disease	em_clinical_c_K40:ef_clinical_c_K40	ef_clinical_c_K40:em_clinical_c_K40
ef_clinical_c_K42	clinical_c_K42	K42 Umbilical hernia (elena)	K42 Umbilical hernia	245494	244428	1066	female	elena	K42 Umbilical hernia	K42 Umbilical hernia (elena) [female]	NA	K42 Umbilical hernia (elena) NA	ef_clinical_c_K42 em_clinical_c_K42	em_clinical_c_K42 ef_clinical_c_K42	Disease	em_clinical_c_K42:ef_clinical_c_K42	ef_clinical_c_K42:em_clinical_c_K42
ef_clinical_c_K43	clinical_c_K43	K43 Ventral hernia (elena)	K43 Ventral hernia	245494	243630	1864	female	elena	K43 Ventral hernia	K43 Ventral hernia (elena) [female]	NA	K43 Ventral hernia (elena) NA	ef_clinical_c_K43 em_clinical_c_K43	em_clinical_c_K43 ef_clinical_c_K43	Disease	em_clinical_c_K43:ef_clinical_c_K43	ef_clinical_c_K43:em_clinical_c_K43
ef_clinical_c_K44	clinical_c_K44	K44 Diaphragmatic hernia (elena)	K44 Diaphragmatic hernia	245494	228761	16733	female	elena	K44 Diaphragmatic hernia	K44 Diaphragmatic hernia (elena) [female]	NA	K44 Diaphragmatic hernia (elena) NA	ef_clinical_c_K44 em_clinical_c_K44	em_clinical_c_K44 ef_clinical_c_K44	Disease	em_clinical_c_K44:ef_clinical_c_K44	ef_clinical_c_K44:em_clinical_c_K44
ef_clinical_c_K51	clinical_c_K51	K51 Ulcerative colitis (elena)	K51 Ulcerative colitis	245494	243845	1649	female	elena	K51 Ulcerative colitis	K51 Ulcerative colitis (elena) [female]	NA	K51 Ulcerative colitis (elena) NA	ef_clinical_c_K51 em_clinical_c_K51	em_clinical_c_K51 ef_clinical_c_K51	Disease	em_clinical_c_K51:ef_clinical_c_K51	ef_clinical_c_K51:em_clinical_c_K51
ef_clinical_c_K57	clinical_c_K57	K57 Diverticular disease of intestine (elena)	K57 Diverticular disease of intestine	245494	229675	15819	female	elena	K57 Diverticular disease of intestine	K57 Diverticular disease of intestine (elena) [female]	NA	K57 Diverticular disease of intestine (elena) NA	ef_clinical_c_K57 em_clinical_c_K57	em_clinical_c_K57 ef_clinical_c_K57	Disease	em_clinical_c_K57:ef_clinical_c_K57	ef_clinical_c_K57:em_clinical_c_K57
ef_clinical_c_K58	clinical_c_K58	K58 Irritable bowel syndrome (elena)	K58 Irritable bowel syndrome	245494	240947	4547	female	elena	K58 Irritable bowel syndrome	K58 Irritable bowel syndrome (elena) [female]	NA	K58 Irritable bowel syndrome (elena) NA	ef_clinical_c_K58 em_clinical_c_K58	em_clinical_c_K58 ef_clinical_c_K58	Disease	em_clinical_c_K58:ef_clinical_c_K58	ef_clinical_c_K58:em_clinical_c_K58
ef_clinical_c_K63	clinical_c_K63	K63 Other diseases of intestine (elena)	K63 Other diseases of intestine	245494	238319	7175	female	elena	K63 Other diseases of intestine	K63 Other diseases of intestine (elena) [female]	NA	K63 Other diseases of intestine (elena) NA	ef_clinical_c_K63 em_clinical_c_K63	em_clinical_c_K63 ef_clinical_c_K63	Disease	em_clinical_c_K63:ef_clinical_c_K63	ef_clinical_c_K63:em_clinical_c_K63
ef_clinical_c_K80	clinical_c_K80	K80 Cholelithiasis (elena)	K80 Cholelithiasis	245494	234400	11094	female	elena	K80 Cholelithiasis	K80 Cholelithiasis (elena) [female]	NA	K80 Cholelithiasis (elena) NA	ef_clinical_c_K80 em_clinical_c_K80	em_clinical_c_K80 ef_clinical_c_K80	Disease	em_clinical_c_K80:ef_clinical_c_K80	ef_clinical_c_K80:em_clinical_c_K80
ef_clinical_c_L02	clinical_c_L02	L02 Cutaneous abscess, furuncle and carbuncle (elena)	L02 Cutaneous abscess, furuncle and carbuncle	245494	244338	1156	female	elena	L02 Cutaneous abscess, furuncle and carbuncle	L02 Cutaneous abscess, furuncle and carbuncle (elena) [female]	NA	L02 Cutaneous abscess, furuncle and carbuncle (elena) NA	ef_clinical_c_L02 em_clinical_c_L02	em_clinical_c_L02 ef_clinical_c_L02	Disease	em_clinical_c_L02:ef_clinical_c_L02	ef_clinical_c_L02:em_clinical_c_L02
ef_clinical_c_L03	clinical_c_L03	L03 Cellulitis (elena)	L03 Cellulitis	245494	242238	3256	female	elena	L03 Cellulitis	L03 Cellulitis (elena) [female]	NA	L03 Cellulitis (elena) NA	ef_clinical_c_L03 em_clinical_c_L03	em_clinical_c_L03 ef_clinical_c_L03	Disease	em_clinical_c_L03:ef_clinical_c_L03	ef_clinical_c_L03:em_clinical_c_L03
ef_clinical_c_L40	clinical_c_L40	L40 Psoriasis (elena)	L40 Psoriasis	245494	244365	1129	female	elena	L40 Psoriasis	L40 Psoriasis (elena) [female]	NA	L40 Psoriasis (elena) NA	ef_clinical_c_L40 em_clinical_c_L40	em_clinical_c_L40 ef_clinical_c_L40	Disease	em_clinical_c_L40:ef_clinical_c_L40	ef_clinical_c_L40:em_clinical_c_L40
ef_clinical_c_L72	clinical_c_L72	L72 Follicular cysts of skin and subcutaneous tissue (elena)	L72 Follicular cysts of skin and subcutaneous tissue	245494	240784	4710	female	elena	L72 Follicular cysts of skin and subcutaneous tissue	L72 Follicular cysts of skin and subcutaneous tissue (elena) [female]	NA	L72 Follicular cysts of skin and subcutaneous tissue (elena) NA	ef_clinical_c_L72 em_clinical_c_L72	em_clinical_c_L72 ef_clinical_c_L72	Disease	em_clinical_c_L72:ef_clinical_c_L72	ef_clinical_c_L72:em_clinical_c_L72
ef_clinical_c_M06	clinical_c_M06	M06 Other rheumatoid arthritis (elena)	M06 Other rheumatoid arthritis	245494	242208	3286	female	elena	M06 Other rheumatoid arthritis	M06 Other rheumatoid arthritis (elena) [female]	NA	M06 Other rheumatoid arthritis (elena) NA	ef_clinical_c_M06 em_clinical_c_M06	em_clinical_c_M06 ef_clinical_c_M06	Disease	em_clinical_c_M06:ef_clinical_c_M06	ef_clinical_c_M06:em_clinical_c_M06
ef_clinical_c_M13	clinical_c_M13	M13 Other arthritis (elena)	M13 Other arthritis	245494	237644	7850	female	elena	M13 Other arthritis	M13 Other arthritis (elena) [female]	NA	M13 Other arthritis (elena) NA	ef_clinical_c_M13 em_clinical_c_M13	em_clinical_c_M13 ef_clinical_c_M13	Disease	em_clinical_c_M13:ef_clinical_c_M13	ef_clinical_c_M13:em_clinical_c_M13
ef_clinical_c_M15	clinical_c_M15	M15 Polyarthrosis (elena)	M15 Polyarthrosis	245494	242658	2836	female	elena	M15 Polyarthrosis	M15 Polyarthrosis (elena) [female]	NA	M15 Polyarthrosis (elena) NA	ef_clinical_c_M15 em_clinical_c_M15	em_clinical_c_M15 ef_clinical_c_M15	Disease	em_clinical_c_M15:ef_clinical_c_M15	ef_clinical_c_M15:em_clinical_c_M15
ef_clinical_c_M16	clinical_c_M16	M16 Coxarthrosis [arthrosis of hip] (elena)	M16 Coxarthrosis [arthrosis of hip]	245494	238096	7398	female	elena	M16 Coxarthrosis [arthrosis of hip]	M16 Coxarthrosis [arthrosis of hip] (elena) [female]	NA	M16 Coxarthrosis [arthrosis of hip] (elena) NA	ef_clinical_c_M16 em_clinical_c_M16	em_clinical_c_M16 ef_clinical_c_M16	Disease	em_clinical_c_M16:ef_clinical_c_M16	ef_clinical_c_M16:em_clinical_c_M16
ef_clinical_c_M17	clinical_c_M17	M17 Gonarthrosis [arthrosis of knee] (elena)	M17 Gonarthrosis [arthrosis of knee]	245494	234410	11084	female	elena	M17 Gonarthrosis [arthrosis of knee]	M17 Gonarthrosis [arthrosis of knee] (elena) [female]	NA	M17 Gonarthrosis [arthrosis of knee] (elena) NA	ef_clinical_c_M17 em_clinical_c_M17	em_clinical_c_M17 ef_clinical_c_M17	Disease	em_clinical_c_M17:ef_clinical_c_M17	ef_clinical_c_M17:em_clinical_c_M17
ef_clinical_c_M19	clinical_c_M19	M19 Other arthrosis (elena)	M19 Other arthrosis	245494	234284	11210	female	elena	M19 Other arthrosis	M19 Other arthrosis (elena) [female]	NA	M19 Other arthrosis (elena) NA	ef_clinical_c_M19 em_clinical_c_M19	em_clinical_c_M19 ef_clinical_c_M19	Disease	em_clinical_c_M19:ef_clinical_c_M19	ef_clinical_c_M19:em_clinical_c_M19
ef_clinical_c_M23	clinical_c_M23	M23 Internal derangement of knee (elena)	M23 Internal derangement of knee	245494	238269	7225	female	elena	M23 Internal derangement of knee	M23 Internal derangement of knee (elena) [female]	NA	M23 Internal derangement of knee (elena) NA	ef_clinical_c_M23 em_clinical_c_M23	em_clinical_c_M23 ef_clinical_c_M23	Disease	em_clinical_c_M23:ef_clinical_c_M23	ef_clinical_c_M23:em_clinical_c_M23
ef_clinical_c_M47	clinical_c_M47	M47 Spondylosis (elena)	M47 Spondylosis	245494	240463	5031	female	elena	M47 Spondylosis	M47 Spondylosis (elena) [female]	NA	M47 Spondylosis (elena) NA	ef_clinical_c_M47 em_clinical_c_M47	em_clinical_c_M47 ef_clinical_c_M47	Disease	em_clinical_c_M47:ef_clinical_c_M47	ef_clinical_c_M47:em_clinical_c_M47
ef_clinical_c_M48	clinical_c_M48	M48 Other spondylopathies (elena)	M48 Other spondylopathies	245494	243157	2337	female	elena	M48 Other spondylopathies	M48 Other spondylopathies (elena) [female]	NA	M48 Other spondylopathies (elena) NA	ef_clinical_c_M48 em_clinical_c_M48	em_clinical_c_M48 ef_clinical_c_M48	Disease	em_clinical_c_M48:ef_clinical_c_M48	ef_clinical_c_M48:em_clinical_c_M48
ef_clinical_c_M54	clinical_c_M54	M54 Dorsalgia (elena)	M54 Dorsalgia	245494	236297	9197	female	elena	M54 Dorsalgia	M54 Dorsalgia (elena) [female]	NA	M54 Dorsalgia (elena) NA	ef_clinical_c_M54 em_clinical_c_M54	em_clinical_c_M54 ef_clinical_c_M54	Disease	em_clinical_c_M54:ef_clinical_c_M54	ef_clinical_c_M54:em_clinical_c_M54
ef_clinical_c_M65	clinical_c_M65	M65 Synovitis and tenosynovitis (elena)	M65 Synovitis and tenosynovitis	245494	242124	3370	female	elena	M65 Synovitis and tenosynovitis	M65 Synovitis and tenosynovitis (elena) [female]	NA	M65 Synovitis and tenosynovitis (elena) NA	ef_clinical_c_M65 em_clinical_c_M65	em_clinical_c_M65 ef_clinical_c_M65	Disease	em_clinical_c_M65:ef_clinical_c_M65	ef_clinical_c_M65:em_clinical_c_M65
ef_clinical_c_M72	clinical_c_M72	M72 Fibroblastic disorders (elena)	M72 Fibroblastic disorders	245494	244306	1188	female	elena	M72 Fibroblastic disorders	M72 Fibroblastic disorders (elena) [female]	NA	M72 Fibroblastic disorders (elena) NA	ef_clinical_c_M72 em_clinical_c_M72	em_clinical_c_M72 ef_clinical_c_M72	Disease	em_clinical_c_M72:ef_clinical_c_M72	ef_clinical_c_M72:em_clinical_c_M72
ef_clinical_c_M75	clinical_c_M75	M75 Shoulder lesions (elena)	M75 Shoulder lesions	245494	240115	5379	female	elena	M75 Shoulder lesions	M75 Shoulder lesions (elena) [female]	NA	M75 Shoulder lesions (elena) NA	ef_clinical_c_M75 em_clinical_c_M75	em_clinical_c_M75 ef_clinical_c_M75	Disease	em_clinical_c_M75:ef_clinical_c_M75	ef_clinical_c_M75:em_clinical_c_M75
ef_clinical_c_N18	clinical_c_N18	N18 Chronic renal failure (elena)	N18 Chronic renal failure	245494	243303	2191	female	elena	N18 Chronic renal failure	N18 Chronic renal failure (elena) [female]	NA	N18 Chronic renal failure (elena) NA	ef_clinical_c_N18 em_clinical_c_N18	em_clinical_c_N18 ef_clinical_c_N18	Disease	em_clinical_c_N18:ef_clinical_c_N18	ef_clinical_c_N18:em_clinical_c_N18
ef_clinical_c_N20	clinical_c_N20	N20 Calculus of kidney and ureter (elena)	N20 Calculus of kidney and ureter	245494	243914	1580	female	elena	N20 Calculus of kidney and ureter	N20 Calculus of kidney and ureter (elena) [female]	NA	N20 Calculus of kidney and ureter (elena) NA	ef_clinical_c_N20 em_clinical_c_N20	em_clinical_c_N20 ef_clinical_c_N20	Disease	em_clinical_c_N20:ef_clinical_c_N20	ef_clinical_c_N20:em_clinical_c_N20
ef_clinical_c_N35	clinical_c_N35	N35 Urethral stricture (elena)	N35 Urethral stricture	245494	244048	1446	female	elena	N35 Urethral stricture	N35 Urethral stricture (elena) [female]	NA	N35 Urethral stricture (elena) NA	ef_clinical_c_N35 em_clinical_c_N35	em_clinical_c_N35 ef_clinical_c_N35	Disease	em_clinical_c_N35:ef_clinical_c_N35	ef_clinical_c_N35:em_clinical_c_N35
ef_clinical_c_N39	clinical_c_N39	N39 Other disorders of urinary system (elena)	N39 Other disorders of urinary system	245494	231044	14450	female	elena	N39 Other disorders of urinary system	N39 Other disorders of urinary system (elena) [female]	NA	N39 Other disorders of urinary system (elena) NA	ef_clinical_c_N39 em_clinical_c_N39	em_clinical_c_N39 ef_clinical_c_N39	Disease	em_clinical_c_N39:ef_clinical_c_N39	ef_clinical_c_N39:em_clinical_c_N39
em_1707-0.0	1707-0.0	Handedness (chirality/laterality) (elena)	Handedness (chirality/laterality)	202408	180544	21864	male	elena	Handedness (chirality/laterality)	Handedness (chirality/laterality) (elena) [male]	NA	Handedness (chirality/laterality) (elena) NA	ef_1707-0.0 em_1707-0.0	em_1707-0.0 ef_1707-0.0	Trait	em_1707-0.0:ef_1707-0.0	ef_1707-0.0:em_1707-0.0
em_cancer_c_Block_C15-C26	cancer_c_Block_C15-C26	C15-C26 Malignant neoplasms of digestive organs (elena)	C15-C26 Malignant neoplasms of digestive organs	206770	203144	3626	male	elena	C15-C26 Malignant neoplasms of digestive organs	C15-C26 Malignant neoplasms of digestive organs (elena) [male]	NA	C15-C26 Malignant neoplasms of digestive organs (elena) NA	ef_cancer_c_Block_C15-C26 em_cancer_c_Block_C15-C26	em_cancer_c_Block_C15-C26 ef_cancer_c_Block_C15-C26	Disease	em_cancer_c_Block_C15-C26:ef_cancer_c_Block_C15-C26	ef_cancer_c_Block_C15-C26:em_cancer_c_Block_C15-C26
em_cancer_c_Block_C43-C44	cancer_c_Block_C43-C44	C43-C44 Melanoma and other malignant neoplasms of skin (elena)	C43-C44 Melanoma and other malignant neoplasms of skin	206770	197648	9122	male	elena	C43-C44 Melanoma and other malignant neoplasms of skin	C43-C44 Melanoma and other malignant neoplasms of skin (elena) [male]	NA	C43-C44 Melanoma and other malignant neoplasms of skin (elena) NA	ef_cancer_c_Block_C43-C44 em_cancer_c_Block_C43-C44	em_cancer_c_Block_C43-C44 ef_cancer_c_Block_C43-C44	Disease	em_cancer_c_Block_C43-C44:ef_cancer_c_Block_C43-C44	ef_cancer_c_Block_C43-C44:em_cancer_c_Block_C43-C44
em_cancer_c_Block_C81-C96	cancer_c_Block_C81-C96	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (elena)	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue	206770	205027	1743	male	elena	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (elena) [male]	NA	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (elena) NA	ef_cancer_c_Block_C81-C96 em_cancer_c_Block_C81-C96	em_cancer_c_Block_C81-C96 ef_cancer_c_Block_C81-C96	Disease	em_cancer_c_Block_C81-C96:ef_cancer_c_Block_C81-C96	ef_cancer_c_Block_C81-C96:em_cancer_c_Block_C81-C96
em_cancer_c_C18	cancer_c_C18	C18 Malignant neoplasm of colon (elena)	C18 Malignant neoplasm of colon	206770	205374	1396	male	elena	C18 Malignant neoplasm of colon	C18 Malignant neoplasm of colon (elena) [male]	NA	C18 Malignant neoplasm of colon (elena) NA	ef_cancer_c_C18 em_cancer_c_C18	em_cancer_c_C18 ef_cancer_c_C18	Disease	em_cancer_c_C18:ef_cancer_c_C18	ef_cancer_c_C18:em_cancer_c_C18
em_cancer_c_C43	cancer_c_C43	C43 Malignant melanoma of skin (elena)	C43 Malignant melanoma of skin	206770	205708	1062	male	elena	C43 Malignant melanoma of skin	C43 Malignant melanoma of skin (elena) [male]	NA	C43 Malignant melanoma of skin (elena) NA	ef_cancer_c_C43 em_cancer_c_C43	em_cancer_c_C43 ef_cancer_c_C43	Disease	em_cancer_c_C43:ef_cancer_c_C43	ef_cancer_c_C43:em_cancer_c_C43
em_cancer_c_C44	cancer_c_C44	C44 Other malignant neoplasms of skin (elena)	C44 Other malignant neoplasms of skin	206770	198710	8060	male	elena	C44 Other malignant neoplasms of skin	C44 Other malignant neoplasms of skin (elena) [male]	NA	C44 Other malignant neoplasms of skin (elena) NA	ef_cancer_c_C44 em_cancer_c_C44	em_cancer_c_C44 ef_cancer_c_C44	Disease	em_cancer_c_C44:ef_cancer_c_C44	ef_cancer_c_C44:em_cancer_c_C44
em_clinical_c_Block_E70-E90	clinical_c_Block_E70-E90	E70-E90 Metabolic disorders (elena)	E70-E90 Metabolic disorders	206770	178744	28026	male	elena	E70-E90 Metabolic disorders	E70-E90 Metabolic disorders (elena) [male]	NA	E70-E90 Metabolic disorders (elena) NA	ef_clinical_c_Block_E70-E90 em_clinical_c_Block_E70-E90	em_clinical_c_Block_E70-E90 ef_clinical_c_Block_E70-E90	Disease	em_clinical_c_Block_E70-E90:ef_clinical_c_Block_E70-E90	ef_clinical_c_Block_E70-E90:em_clinical_c_Block_E70-E90
em_clinical_c_Block_F10-F19	clinical_c_Block_F10-F19	F10-F19 Mental and behavioural disorders due to psychoactive substance use (elena)	F10-F19 Mental and behavioural disorders due to psychoactive substance use	206770	196504	10266	male	elena	F10-F19 Mental and behavioural disorders due to psychoactive substance use	F10-F19 Mental and behavioural disorders due to psychoactive substance use (elena) [male]	NA	F10-F19 Mental and behavioural disorders due to psychoactive substance use (elena) NA	ef_clinical_c_Block_F10-F19 em_clinical_c_Block_F10-F19	em_clinical_c_Block_F10-F19 ef_clinical_c_Block_F10-F19	Disease	em_clinical_c_Block_F10-F19:ef_clinical_c_Block_F10-F19	ef_clinical_c_Block_F10-F19:em_clinical_c_Block_F10-F19
