sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	pair_m_f_	pair_m_f_inv
ADr1um	ADr1u	Alzheimer's Disease (requested)	Alzheimer's Disease	286959	268018	18941	male	requested	Alzheimer's Disease	Alzheimer's Disease (requested) [male]	NA	Alzheimer's Disease (requested) NA	ADr1uf ADr1um	ADr1um ADr1uf	Disease	ADr1um:ADr1uf	ADr1uf:ADr1um
H26_f	H26	Diagnoses - main ICD10: H26 Other cataract (neales)	Diagnoses - main ICD10: H26 Other cataract	194174	187980	6194	female	neales	Diagnoses - main ICD10: H26 Other cataract	Diagnoses - main ICD10: H26 Other cataract (neales) [female]	NA	Diagnoses - main ICD10: H26 Other cataract (neales) NA	H26_f H26_m	H26_m H26_f	Disease	H26_m:H26_f	H26_f:H26_m
H26_m	H26	Diagnoses - main ICD10: H26 Other cataract (neales)	Diagnoses - main ICD10: H26 Other cataract	167020	161908	5112	male	neales	Diagnoses - main ICD10: H26 Other cataract	Diagnoses - main ICD10: H26 Other cataract (neales) [male]	NA	Diagnoses - main ICD10: H26 Other cataract (neales) NA	H26_f H26_m	H26_m H26_f	Disease	H26_m:H26_f	H26_f:H26_m
I84_f	I84	Diagnoses - main ICD10: I84 Haemorrhoids (neales)	Diagnoses - main ICD10: I84 Haemorrhoids	194174	188131	6043	female	neales	Diagnoses - main ICD10: I84 Haemorrhoids	Diagnoses - main ICD10: I84 Haemorrhoids (neales) [female]	NA	Diagnoses - main ICD10: I84 Haemorrhoids (neales) NA	I84_f I84_m	I84_m I84_f	Disease	I84_m:I84_f	I84_f:I84_m
I84_m	I84	Diagnoses - main ICD10: I84 Haemorrhoids (neales)	Diagnoses - main ICD10: I84 Haemorrhoids	167020	160961	6059	male	neales	Diagnoses - main ICD10: I84 Haemorrhoids	Diagnoses - main ICD10: I84 Haemorrhoids (neales) [male]	NA	Diagnoses - main ICD10: I84 Haemorrhoids (neales) NA	I84_f I84_m	I84_m I84_f	Disease	I84_m:I84_f	I84_f:I84_m
K29_f	K29	Diagnoses - main ICD10: K29 Gastritis and duodenitis (neales)	Diagnoses - main ICD10: K29 Gastritis and duodenitis	194174	187011	7163	female	neales	Diagnoses - main ICD10: K29 Gastritis and duodenitis	Diagnoses - main ICD10: K29 Gastritis and duodenitis (neales) [female]	NA	Diagnoses - main ICD10: K29 Gastritis and duodenitis (neales) NA	K29_f K29_m	K29_m K29_f	Disease	K29_m:K29_f	K29_f:K29_m
K29_m	K29	Diagnoses - main ICD10: K29 Gastritis and duodenitis (neales)	Diagnoses - main ICD10: K29 Gastritis and duodenitis	167020	161505	5515	male	neales	Diagnoses - main ICD10: K29 Gastritis and duodenitis	Diagnoses - main ICD10: K29 Gastritis and duodenitis (neales) [male]	NA	Diagnoses - main ICD10: K29 Gastritis and duodenitis (neales) NA	K29_f K29_m	K29_m K29_f	Disease	K29_m:K29_f	K29_f:K29_m
K57_f	K57	Diagnoses - main ICD10: K57 Diverticular disease of intestine (neales)	Diagnoses - main ICD10: K57 Diverticular disease of intestine	194174	187183	6991	female	neales	Diagnoses - main ICD10: K57 Diverticular disease of intestine	Diagnoses - main ICD10: K57 Diverticular disease of intestine (neales) [female]	NA	Diagnoses - main ICD10: K57 Diverticular disease of intestine (neales) NA	K57_f K57_m	K57_m K57_f	Disease	K57_m:K57_f	K57_f:K57_m
K57_m	K57	Diagnoses - main ICD10: K57 Diverticular disease of intestine (neales)	Diagnoses - main ICD10: K57 Diverticular disease of intestine	167020	161349	5671	male	neales	Diagnoses - main ICD10: K57 Diverticular disease of intestine	Diagnoses - main ICD10: K57 Diverticular disease of intestine (neales) [male]	NA	Diagnoses - main ICD10: K57 Diverticular disease of intestine (neales) NA	K57_f K57_m	K57_m K57_f	Disease	K57_m:K57_f	K57_f:K57_m
K62_f	K62	Diagnoses - main ICD10: K62 Other diseases of anus and rectum (neales)	Diagnoses - main ICD10: K62 Other diseases of anus and rectum	194174	186988	7186	female	neales	Diagnoses - main ICD10: K62 Other diseases of anus and rectum	Diagnoses - main ICD10: K62 Other diseases of anus and rectum (neales) [female]	NA	Diagnoses - main ICD10: K62 Other diseases of anus and rectum (neales) NA	K62_f K62_m	K62_m K62_f	Disease	K62_m:K62_f	K62_f:K62_m
