sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	trait_name_clean	type	PPREV	SPREV	Intercept	Intercept_SE	Ratio	Ratio_SE	H2	H2_SE	H2_Z	H2_P	H2L	H2L_VAR	H2L_SE	H2L_P	H2_power_diff0.1	H2_power_diff0.05	H2_power_diff0.02	H2_power_diff0.01	neff	neff_power_univ_cat	neff_power_biv_cat	neff_power_part_cat
187m	187	Waist-hip ratio (adjusted for BMI) (atlas)	Waist-hip ratio	93480	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio (adjusted for BMI) (atlas) [male]	25673412	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	187m 189f	187m 189f	Antropometric	Waist-hip ratio (adjBMI)	BIN	0	NA	0.9083	0.0072	NA		0.1236	0.0104	11.8846153846154	7.11442618251922e-33	0.1236	NA	0.0104	7.11442618251922e-33	0.99999999999999	0.997798375210402	0.48533910719448	0.160778268892402	93480	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
189f	189	Waist-hip ratio (adjusted for BMI) (atlas)	Waist-hip ratio	116742	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (adjusted for BMI) (atlas) [female]	25673412	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	187m 189f	187m 189f	Antropometric	Waist-hip ratio (adjBMI)	BIN	0	NA	0.9128	0.0077	NA		0.1101	0.0105	10.4857142857143	5.0241742324965e-26	0.1101	NA	0.0105	5.0241742324965e-26	0.99999999999998	0.997460190133445	0.478044343032695	0.158620970316695	116742	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
4370m	4370	Thyroid-stimulating hormone  (atlas)	Thyroid stimulating hormone	24618	NA	NA	male	atlas	Thyroid stimulating hormone	Thyroid-stimulating hormone  (atlas) [male]	30367059	Thyroid-stimulating hormone  (atlas) 30367059	4370m 4371f	4370m 4371f	Metabolic	Thyroid-stimulating hormone	BIN	0	NA	1.0226	0.0084	0.2783	0.1038	0.1222	0.0294	4.15646258503401	1.61606537258803e-05	0.1222	NA	0.0294	1.61606537258803e-05	0.925263700476668	0.397833963634108	0.104469175985197	0.0633558989211314	24618	SNPh2 0.1	SNPh2 0.2	none
4371f	4371	Thyroid-stimulating hormone  (atlas)	Thyroid stimulating hormone	30236	NA	NA	female	atlas	Thyroid stimulating hormone	Thyroid-stimulating hormone  (atlas) [female]	30367059	Thyroid-stimulating hormone  (atlas) 30367059	4370m 4371f	4370m 4371f	Metabolic	Thyroid-stimulating hormone	BIN	0	NA	1.0219	0.007	0.3114	0.0999	0.0898	0.0213	4.21596244131455	1.24357577898365e-05	0.0898	NA	0.0213	1.24357577898365e-05	0.996879770261683	0.650798139935575	0.155500151652041	0.0756099072764243	30236	SNPh2 0.1	SNPh2 0.2	SNPh2 0.2
4373m	4373	Free thyroxine (FT4) (atlas)	Free thyroxine	22455	NA	NA	male	atlas	Free thyroxine	Free thyroxine (FT4) (atlas) [male]	30367059	Free thyroxine (FT4) (atlas) 30367059	4373m 4374f	4373m 4374f	Metabolic	Free thyroxine (FT4)	BIN	0	NA	0.9971	0.007	NA		0.2	0.0264	7.57575757575758	1.78518985397044e-14	0.2	NA	0.0264	1.78518985397044e-14	0.966218835019012	0.473737248592574	0.117895037008802	0.0665930282146282	22455	SNPh2 0.1	SNPh2 0.2	none
4374f	4374	Free thyroxine (FT4) (atlas)	Free thyroxine	27380	NA	NA	female	atlas	Free thyroxine	Free thyroxine (FT4) (atlas) [female]	30367059	Free thyroxine (FT4) (atlas) 30367059	4373m 4374f	4373m 4374f	Metabolic	Free thyroxine (FT4)	BIN	0	NA	1.0179	0.0074	0.2344	0.097	0.1103	0.0214	5.15420560747664	1.27354178898778e-07	0.1103	NA	0.0214	1.27354178898778e-07	0.996665472693174	0.646730353168925	0.15448944067815	0.0753680429236108	27380	SNPh2 0.1	SNPh2 0.2	SNPh2 0.2
48f	48	Age at first birth  (atlas)	Age at first birth	225230	NA	NA	female	atlas	Age at first birth	Age at first birth  (atlas) [female]	27798627	Age at first birth  (atlas) 27798627	48f 49m	49m 48f	Fertility	Age at first birth	BIN	0	NA	0.9713	0.0072	NA		0.0437	0.003	14.5666666666667	2.28842246099925e-48	0.0437	NA	0.003	2.28842246099925e-48	1	1	0.999998741221653	0.915181283301826	225230	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
49m	49	Age at first birth  (atlas)	Age at first birth	48408	NA	NA	male	atlas	Age at first birth	Age at first birth  (atlas) [male]	27798627	Age at first birth  (atlas) 27798627	48f 49m	49m 48f	Fertility	Age at first birth	BIN	0	NA	0.9424	0.0068	NA		0.1136	0.0104	10.9230769230769	4.47071844168681e-28	0.1136	NA	0.0104	4.47071844168681e-28	0.99999999999999	0.997798375210402	0.48533910719448	0.160778268892402	48408	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
51f	51	Number of children ever born  (atlas)	Number of children ever born	225230	NA	NA	female	atlas	Number of children ever born	Number of children ever born  (atlas) [female]	27798627	Number of children ever born  (atlas) 27798627	51f 52m	52m 51f	Fertility	Number of children ever born	BIN	0	NA	0.9749	0.0063	NA		0.022	0.0021	10.4761904761905	5.55652294481084e-26	0.022	NA	0.0021	5.55652294481084e-26	1	1	0.99999999999998	0.997460190133445	225230	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
52m	52	Number of children ever born  (atlas)	Number of children ever born	103909	NA	NA	male	atlas	Number of children ever born	Number of children ever born  (atlas) [male]	27798627	Number of children ever born  (atlas) 27798627	51f 52m	52m 51f	Fertility	Number of children ever born	BIN	0	NA	0.9705	0.0061	NA		0.0349	0.0049	7.12244897959184	5.3013003815893e-13	0.0349	NA	0.0049	5.3013003815893e-13	1	1	0.983067215030568	0.532251876276336	103909	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
