Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
175m	l4m	1.0767	0.0392	0.1023	0.0361	0.0046
175m	l5m	1.071	0.028	-0.0365	0.033	0.2694
175m	r10m	0.996	0.0082	-0.0278	0.0925	0.7633
175m	r4m	1.0132	0.0076	0.077	0.0674	0.2533
175m	r5m	1.0018	0.0127	-0.0198	0.0279	0.4774
175m	r8m	1.0065	0.008	-0.0388	0.0431	0.3676
175m	r9m	0.9963	0.0067	0.0099	0.0807	0.9024
177f	177f	0.8909	0.008	1.0	1.4216e-07	0.0
177f	183f	0.8885	0.008	0.6302	0.0284	2.4875e-109
177f	189f	0.9089	0.0087	0.7171	0.0243	6.0433e-192
177f	4213f	1.0001	0.0096	0.0216	0.0911	0.8127
177f	4371f	1.0249	0.0088	0.0692	0.0713	0.3318
177f	4374f	1.0177	0.0078	-0.1464	0.0717	0.041
177f	48f	0.9729	0.0078	-0.0675	0.0397	0.089
177f	51f	0.9771	0.0065	0.0032	0.0566	0.9548
177f	96f	0.9581	0.0076	0.358	0.066	5.6698e-08
177f	99f	0.9835	0.0067	0.1822	0.0832	0.0286
177f	a13f	0.9899	0.0087	0.1863	0.0466	6.3926e-05
177f	a1f	1.01	0.0085	0.036	0.0382	0.3458
177f	a21f	0.9831	0.008	-0.098	0.0475	0.0391
177f	a22f	1.0234	0.0079	0.0568	0.0348	0.1029
177f	a27f	1.0255	0.035	0.0943	0.0555	0.0893
177f	a28f	1.017	0.0095	0.367	0.0939	9.2526e-05
177f	a29f	1.021	0.0088	0.0556	0.0345	0.1067
177f	a30f	0.9521	0.0091	-0.0199	0.0289	0.4908
177f	a7f	0.9539	0.0082	-0.0012	0.0527	0.9816
177f	a8f	1.0508	0.013	0.2774	0.0391	1.2281e-12
177f	a9f	1.0562	0.0087	0.1331	0.0736	0.0703
177f	ADr1uf	1.0077	0.0309	0.1292	0.2487	0.6034
177f	bm1f	1.0077	0.007	0.0186	0.0868	0.8299
177f	bm2f	0.9932	0.0075	0.0604	0.063	0.3379
177f	bm4f	1.0065	0.0074	-0.1581	0.0867	0.0682
177f	bm5f	1.0019	0.0079	-0.0171	0.0509	0.7369
177f	bm6f	1.004	0.0091	-0.0443	0.0541	0.4129
177f	bm7f	1.0032	0.0091	-0.0256	0.0523	0.6242
177f	bm8f	0.9993	0.0075	-0.1042	0.0573	0.0691
177f	ch1f	0.9993	0.0068	-0.0427	0.0678	0.5289
177f	ch4f	0.9985	0.0066	-0.0468	0.103	0.6496
177f	ch5f	0.9939	0.007	0.0324	0.0824	0.694
177f	ch6f	1.0019	0.0071	0.0063	0.0851	0.9414
177f	l1f	1.1101	0.0353	-0.2786	0.0283	7.7389e-23
177f	l2f	1.0795	0.0292	0.1226	0.0349	0.0004
177f	l3f	1.1205	0.0341	0.0583	0.0342	0.0883
177f	l4f	1.0882	0.0314	0.2879	0.0296	2.5722e-22
177f	l5f	1.0948	0.0298	0.1634	0.0346	2.3568e-06
177f	r10f	0.9644	0.0084	-0.0069	0.0619	0.9108
177f	r4f	0.9971	0.0068	-0.0094	0.0508	0.8539
177f	r5f	1.0532	0.0099	-0.0321	0.0372	0.3881
177f	r8f	0.9981	0.0076	0.0287	0.0393	0.4645
177f	r9f	1.0091	0.0072	0.1129	0.0703	0.108
181m	181m	0.8914	0.0075	1.0	2.5197e-06	0.0
181m	183f	0.8945	0.0106	0.7466	0.0512	3.4438e-48
181m	187m	0.9043	0.0075	0.7266	0.025	1.9257e-185
181m	4212m	1.0013	0.0106	-0.1303	0.0857	0.1286
181m	4370m	1.0227	0.0123	-0.1759	0.0957	0.0659
181m	4373m	0.9989	0.0084	0.057	0.0666	0.3923
181m	49m	0.9436	0.0086	-0.3714	0.0588	2.6069e-10
181m	52m	0.9728	0.0076	0.1136	0.0726	0.1177
181m	97m	0.9779	0.0086	0.1938	0.1029	0.0596
181m	a13m	1.0106	0.0145	0.3562	0.0478	9.5248e-14
181m	a1m	0.9981	0.0095	0.0978	0.0554	0.0776
181m	a21m	1.0153	0.0087	0.2592	0.0719	0.0003
181m	a22m	1.0181	0.0093	0.2149	0.0444	1.3079e-06
181m	a27m	1.0231	0.0302	0.1221	0.0667	0.0671
181m	a28m	1.0137	0.0251	0.4044	0.133	0.0024
181m	a29m	1.0228	0.0104	0.2778	0.0459	1.4232e-09
181m	a30m	0.962	0.0106	-0.3887	0.0362	7.2542e-27
181m	a7m	0.9645	0.01	-0.0204	0.0585	0.727
181m	a8m	1.0513	0.0185	0.5308	0.0502	4.0057e-26
181m	a9m	1.0119	0.0098	0.3184	0.0588	6.0428e-08
181m	ADr1um	0.9814	0.0201	-0.2134	0.1328	0.1081
181m	bm1m	1.0119	0.0076	-0.0661	0.0953	0.4881
181m	bm2m	0.9954	0.0091	0.1055	0.0841	0.2096
181m	bm4m	0.9936	0.0078	0.085	0.0965	0.3782
181m	bm5m	1.0068	0.0086	0.1131	0.0707	0.1096
181m	bm6m	0.9982	0.0095	0.1905	0.0692	0.0059
181m	bm7m	1.0062	0.0091	0.203	0.075	0.0068
181m	bm8m	1.0118	0.0079	-0.1545	0.0923	0.0941
181m	ch1m	0.9979	0.0079	-0.1888	0.0911	0.0382
181m	ch4m	1.0007	0.0075	-0.2549	0.0916	0.0054
181m	ch5m	1.002	0.0072	-0.3457	0.1265	0.0063
181m	ch6m	0.9851	0.0079	-0.2434	0.0962	0.0114
181m	l1m	1.1221	0.0448	-0.4805	0.0354	4.6559e-42
181m	l2m	1.0662	0.0354	-0.0068	0.0356	0.8489
181m	l3m	1.1215	0.0419	-0.0067	0.0366	0.8552
181m	l4m	1.0927	0.0441	0.4629	0.0374	3.1067e-35
181m	l5m	1.0782	0.0317	0.1794	0.0435	3.7811e-05
181m	r10m	0.9903	0.0086	0.0405	0.0927	0.6624
181m	r4m	1.018	0.0079	0.27	0.0739	0.0003
181m	r5m	1.0108	0.0133	0.0036	0.0338	0.9162
181m	r8m	1.0088	0.0086	0.1577	0.0497	0.0015
181m	r9m	0.9989	0.0071	0.1457	0.0837	0.0816
183f	183f	0.8888	0.0081	1.0	1.8775e-05	0.0
183f	189f	0.909	0.0088	0.8568	0.0137	0.0
183f	4213f	1.	0.0096	-0.0993	0.0893	0.2665
183f	4371f	1.0249	0.0089	0.0514	0.0839	0.5398
183f	4374f	1.0167	0.0077	-0.1533	0.0661	0.0203
183f	48f	0.9736	0.0079	-0.2955	0.0414	9.3155e-13
183f	51f	0.9774	0.0066	0.0915	0.0585	0.1176
183f	96f	0.9584	0.0076	0.0693	0.0545	0.2037
183f	99f	0.9839	0.0067	-0.2589	0.0871	0.003
183f	a13f	0.9895	0.0089	0.384	0.0463	1.1783e-16
183f	a1f	1.0103	0.0084	0.1821	0.0412	9.7308e-06
183f	a21f	0.9834	0.0081	0.0884	0.0458	0.0533
183f	a22f	1.024	0.008	0.2455	0.0393	4.1525e-10
183f	a27f	1.0256	0.0353	0.1711	0.0642	0.0077
183f	a28f	1.018	0.0095	0.6769	0.0999	1.2379e-11
183f	a29f	1.0209	0.0088	0.216	0.038	1.3291e-08
183f	a30f	0.9518	0.0091	-0.2822	0.0327	6.0491e-18
183f	a7f	0.9539	0.0082	-0.0565	0.0517	0.2745
183f	a8f	1.0507	0.013	0.6061	0.0327	1.0730e-76
183f	a9f	1.0563	0.0087	0.3156	0.0704	7.3713e-06
183f	ADr1uf	1.0075	0.0308	-0.0876	0.2067	0.6719
183f	bm1f	1.0076	0.0069	-0.0272	0.0937	0.7716
183f	bm2f	0.9926	0.0075	0.0199	0.0605	0.7427
183f	bm4f	1.0055	0.0073	-0.081	0.0802	0.3123
183f	bm5f	1.0021	0.0078	0.0754	0.053	0.1552
183f	bm6f	1.0038	0.0091	0.0442	0.0534	0.4079
183f	bm7f	1.0028	0.009	0.0629	0.0507	0.2152
183f	bm8f	0.9988	0.0076	-0.1323	0.0588	0.0245
183f	ch1f	0.999	0.0068	-0.1204	0.0774	0.1197
183f	ch4f	0.9986	0.0066	-0.0592	0.1042	0.5697
183f	ch5f	0.9938	0.007	-0.0846	0.0792	0.2851
183f	ch6f	1.0022	0.0072	-0.193	0.0888	0.0298
183f	l1f	1.1095	0.0349	-0.5627	0.0293	2.8496e-82
183f	l2f	1.0795	0.029	0.2813	0.0338	7.8863e-17
183f	l3f	1.1202	0.0336	0.1526	0.0318	1.6063e-06
183f	l4f	1.0873	0.0313	0.5933	0.0305	3.4183e-84
183f	l5f	1.0945	0.0295	0.3862	0.0334	6.3221e-31
183f	r10f	0.9644	0.0083	0.0996	0.0633	0.1156
183f	r4f	0.9976	0.0069	0.1773	0.0526	0.0007
183f	r5f	1.0531	0.0098	-0.0807	0.0359	0.0245
183f	r8f	0.9976	0.0077	0.0552	0.0406	0.1739
183f	r9f	1.0097	0.0072	0.1782	0.0614	0.0037
187m	187m	0.9042	0.0075	1.0	4.3886e-06	0.0
187m	189f	0.9237	0.0114	0.6735	0.0615	6.8710e-28
187m	4212m	1.0019	0.0112	-0.0934	0.0802	0.2442
187m	4370m	1.0267	0.0127	-0.2234	0.1128	0.0477
187m	4373m	1.0023	0.0088	0.1877	0.0767	0.0143
187m	49m	0.9437	0.0087	-0.1427	0.0654	0.029
187m	52m	0.9729	0.0078	0.0192	0.0779	0.8052
187m	97m	0.9767	0.009	-0.0437	0.1	0.6624
187m	a13m	1.0127	0.0148	0.2345	0.0472	6.9028e-07
187m	a1m	0.9972	0.0095	0.0557	0.0546	0.3081
187m	a21m	1.0154	0.0092	0.2622	0.0791	0.0009
187m	a22m	1.0198	0.0092	0.0181	0.0502	0.7182
187m	a27m	1.0227	0.0306	0.0012	0.0748	0.9869
187m	a28m	1.0126	0.0245	0.0857	0.098	0.3818
187m	a29m	1.0205	0.0105	0.1132	0.0439	0.0099
187m	a30m	0.9618	0.0109	-0.2582	0.037	3.0635e-12
187m	a7m	0.9672	0.0099	-0.0164	0.0552	0.7671
187m	a8m	1.0565	0.019	0.24	0.0507	2.1838e-06
187m	a9m	1.0108	0.0101	0.194	0.0655	0.003
187m	ADr1um	0.9806	0.0207	-0.0849	0.137	0.5357
187m	bm1m	1.0112	0.008	-0.0571	0.098	0.5601
187m	bm2m	0.9949	0.0092	0.0523	0.0839	0.5335
187m	bm4m	0.9921	0.0081	-0.1216	0.1085	0.2626
187m	bm5m	1.0078	0.0091	-0.0159	0.0654	0.8079
187m	bm6m	0.9994	0.0099	0.0979	0.0704	0.1644
187m	bm7m	1.006	0.0095	0.1054	0.0732	0.1497
187m	bm8m	1.0143	0.0082	-0.1434	0.1028	0.163
187m	ch1m	0.9966	0.0081	-0.116	0.0943	0.2187
187m	ch4m	1.0023	0.0073	-0.2222	0.0989	0.0246
187m	ch5m	1.0035	0.0078	-0.2778	0.1415	0.0497
187m	ch6m	0.9833	0.0086	-0.2738	0.0952	0.004
187m	l1m	1.1313	0.0468	-0.2234	0.0424	1.4039e-07
187m	l2m	1.0748	0.0368	0.0547	0.0407	0.1793
187m	l3m	1.1339	0.0425	0.0919	0.0421	0.029
187m	l4m	1.1031	0.0474	0.3145	0.038	1.1885e-16
187m	l5m	1.0855	0.0332	0.1765	0.0472	0.0002
187m	r10m	0.9892	0.0091	0.0793	0.1001	0.428
187m	r4m	1.0171	0.0078	0.2235	0.076	0.0033
187m	r5m	1.0102	0.0145	0.0402	0.036	0.2647
187m	r8m	1.0064	0.0089	0.0852	0.051	0.0946
187m	r9m	0.9971	0.0074	-0.0005	0.0904	0.9955
189f	189f	0.908	0.0086	1.0	1.8339e-05	0.0
189f	4213f	0.9992	0.0097	-0.0612	0.0893	0.4932
189f	4371f	1.0245	0.009	0.0568	0.082	0.488
189f	4374f	1.0173	0.0077	-0.1967	0.0748	0.0086
189f	48f	0.9732	0.0078	-0.1739	0.0428	4.8636e-05
189f	51f	0.9758	0.0065	0.0759	0.0575	0.1873
189f	96f	0.9582	0.0075	-0.0246	0.0599	0.6817
189f	99f	0.9833	0.0067	-0.0278	0.082	0.7345
189f	a13f	0.989	0.0087	0.262	0.049	8.8176e-08
189f	a1f	1.01	0.0084	0.1193	0.0411	0.0037
189f	a21f	0.984	0.0079	0.0365	0.0497	0.4619
189f	a22f	1.0245	0.008	0.08	0.0387	0.0388
189f	a27f	1.0259	0.0353	0.0895	0.0608	0.1408
189f	a28f	1.0185	0.0095	0.3841	0.1059	0.0003
189f	a29f	1.0213	0.0089	0.0553	0.0373	0.1374
189f	a30f	0.9524	0.0091	-0.1572	0.0337	2.9973e-06
189f	a7f	0.9545	0.0082	0.0005	0.0524	0.9924
189f	a8f	1.0515	0.013	0.3495	0.0354	6.2082e-23
189f	a9f	1.057	0.0087	0.1863	0.0779	0.0168
189f	ADr1uf	1.0072	0.0309	0.1504	0.2394	0.5298
189f	bm1f	1.0075	0.0071	-0.0173	0.0999	0.8627
189f	bm2f	0.9926	0.0073	0.0832	0.0654	0.2035
189f	bm4f	1.0061	0.0073	-0.1719	0.0815	0.035
189f	bm5f	1.0017	0.0078	0.0676	0.0554	0.2223
189f	bm6f	1.0042	0.0093	0.0455	0.0574	0.4281
189f	bm7f	1.0033	0.0093	0.0529	0.0543	0.3306
189f	bm8f	0.9992	0.0076	-0.1435	0.0587	0.0145
189f	ch1f	1.	0.0067	-0.0645	0.0805	0.423
189f	ch4f	0.9982	0.0065	-0.0024	0.1058	0.982
189f	ch5f	0.9946	0.0068	0.0065	0.0845	0.9384
189f	ch6f	1.0024	0.0071	-0.0812	0.0903	0.3683
189f	l1f	1.1103	0.0346	-0.3695	0.0309	5.3244e-33
189f	l2f	1.0803	0.0295	0.2278	0.0352	9.2211e-11
189f	l3f	1.1206	0.0346	0.1531	0.0321	1.8900e-06
189f	l4f	1.0884	0.0311	0.451	0.0316	4.0731e-46
189f	l5f	1.095	0.0299	0.3017	0.0351	8.1351e-18
189f	r10f	0.9647	0.0083	0.0523	0.069	0.4481
189f	r4f	0.9969	0.0067	0.0896	0.0538	0.0956
189f	r5f	1.0535	0.0099	-0.051	0.0412	0.2152
189f	r8f	0.9979	0.0076	0.0361	0.0427	0.3981
189f	r9f	1.0095	0.0072	0.1136	0.0677	0.0933
4212m	4212m	1.0034	0.0093	1.0	4.2296e-06	0.0
4212m	4213f	0.9983	0.0092	0.8693	0.1763	8.1742e-07
4212m	4370m	1.025	0.0104	0.0216	0.1325	0.8703
4212m	4373m	0.9963	0.0071	-0.0483	0.1118	0.6659
4212m	49m	0.9435	0.0069	0.1441	0.0907	0.112
4212m	52m	0.9726	0.0062	-0.06	0.1225	0.6243
4212m	97m	0.9758	0.0077	-0.0439	0.1224	0.7202
4212m	a13m	0.9977	0.0111	-0.026	0.0644	0.6861
4212m	a1m	0.9975	0.0081	0.076	0.0763	0.3193
4212m	a21m	1.0192	0.007	-0.0427	0.1107	0.6996
4212m	a22m	1.016	0.0077	0.0374	0.0675	0.5792
4212m	a27m	0.9552	0.0218	0.1232	0.1183	0.2974
4212m	a28m	0.9217	0.0154	0.0017	0.1232	0.9887
4212m	a29m	1.0174	0.0083	-0.0323	0.071	0.6489
4212m	a30m	0.9497	0.0076	-0.0917	0.0586	0.1179
4212m	a7m	0.9582	0.0078	-0.0849	0.0911	0.3512
4212m	a8m	1.0349	0.0151	-0.174	0.0569	0.0022
4212m	a9m	1.0078	0.0079	-0.254	0.1025	0.0132
4212m	ADr1um	0.9829	0.0203	0.2307	0.1989	0.246
4212m	bm1m	1.0084	0.0063	-0.0773	0.1457	0.5955
4212m	bm2m	0.9988	0.0076	-0.2069	0.1378	0.1333
4212m	bm4m	0.9919	0.0064	0.0878	0.1408	0.5331
4212m	bm5m	1.0046	0.0072	-0.0785	0.0942	0.4046
4212m	bm6m	0.9996	0.0077	-0.0186	0.0887	0.8341
4212m	bm7m	1.0063	0.0077	-0.0574	0.0916	0.5314
4212m	bm8m	1.0094	0.0065	0.2751	0.1412	0.0513
4212m	ch1m	0.999	0.0065	0.1703	0.1472	0.2472
4212m	ch4m	0.9958	0.0062	-0.1185	0.129	0.3583
4212m	ch5m	1.0045	0.0061	0.188	0.1778	0.2902
4212m	ch6m	0.9878	0.0065	0.0753	0.138	0.5854
4212m	l1m	1.0776	0.0352	0.0169	0.0461	0.7143
4212m	l2m	1.0541	0.0301	0.0738	0.0508	0.1462
4212m	l3m	1.095	0.0345	0.1009	0.0531	0.0572
4212m	l4m	1.0433	0.0318	0.0276	0.0459	0.5472
4212m	l5m	1.0681	0.0262	0.0761	0.0575	0.1859
4212m	r10m	0.9996	0.0079	0.0262	0.1656	0.8742
4212m	r4m	1.0163	0.0063	0.2235	0.1078	0.0381
4212m	r5m	1.0075	0.0118	-0.0206	0.0544	0.7045
4212m	r8m	1.0054	0.0071	-0.0193	0.064	0.7633
4212m	r9m	0.9962	0.0067	0.1311	0.1308	0.3161
4213f	4213f	0.998	0.0081	1.0002	8.5174e-05	0.0
4213f	4371f	1.025	0.0088	-0.0059	0.1494	0.9684
4213f	4374f	1.0184	0.0074	-0.09	0.1478	0.5424
4213f	48f	0.9694	0.0078	-0.1242	0.0861	0.1494
4213f	51f	0.975	0.0066	0.1933	0.1156	0.0944
4213f	96f	0.958	0.0077	0.0679	0.1308	0.6037
4213f	99f	0.9832	0.0066	0.1487	0.1644	0.3655
4213f	a13f	0.9883	0.0086	0.0872	0.0936	0.3514
4213f	a1f	1.0106	0.0083	0.0816	0.0788	0.3001
4213f	a21f	0.9876	0.0079	-0.1425	0.0954	0.1353
4213f	a22f	1.0218	0.0075	0.0154	0.0782	0.8441
4213f	a27f	0.9873	0.0277	0.782	0.9889	0.4291
4213f	a28f	1.0054	0.0095	0.0028	0.1776	0.9875
4213f	a29f	1.0166	0.0086	0.0342	0.0706	0.6286
4213f	a30f	0.9502	0.009	0.0529	0.064	0.4079
4213f	a7f	0.9533	0.0078	0.0194	0.1145	0.8653
4213f	a8f	1.0448	0.013	-0.1335	0.0724	0.0653
4213f	a9f	1.0574	0.0086	0.2393	0.1706	0.1606
4213f	ADr1uf	1.0067	0.0305	0.0185	0.25	0.9411
4213f	bm1f	1.0094	0.007	-0.0949	0.2068	0.6464
4213f	bm2f	0.9971	0.0072	0.1604	0.1522	0.2919
4213f	bm4f	1.0062	0.0069	-0.0549	0.1906	0.7731
4213f	bm5f	1.0033	0.0076	0.0202	0.1119	0.857
4213f	bm6f	1.0066	0.0093	-0.0072	0.1132	0.9496
4213f	bm7f	1.0059	0.009	-0.0123	0.1071	0.9085
4213f	bm8f	0.9998	0.0071	-0.0924	0.1228	0.4519
4213f	ch1f	0.999	0.0069	0.176	0.1566	0.2612
4213f	ch4f	0.998	0.0064	-0.1176	0.2282	0.6062
4213f	ch5f	0.9923	0.006	-0.093	0.1631	0.5688
4213f	ch6f	1.0031	0.0066	-0.0101	0.2001	0.9597
4213f	l1f	1.1091	0.0333	0.0777	0.0575	0.1765
4213f	l2f	1.0699	0.03	0.0711	0.0599	0.2354
4213f	l3f	1.1084	0.0313	0.1314	0.0687	0.0559
4213f	l4f	1.0813	0.0298	0.009	0.0595	0.8796
4213f	l5f	1.0857	0.0293	0.0557	0.0614	0.3645
4213f	r10f	0.9691	0.009	0.298	0.1685	0.077
4213f	r4f	1.0011	0.0064	0.0528	0.1021	0.605
4213f	r5f	1.057	0.0099	-0.0279	0.083	0.7365
4213f	r8f	0.9976	0.0076	-0.043	0.0829	0.6044
4213f	r9f	1.0112	0.0061	0.3144	0.1658	0.058
4370m	4370m	1.0267	0.0098	1.0	1.6651e-06	0.0
4370m	4371f	1.0239	0.0084	1.3204	0.2451	7.1532e-08
4370m	4373m	0.9971	0.0071	0.0106	0.1252	0.9324
4370m	49m	0.9431	0.0066	0.1368	0.1007	0.1745
4370m	52m	0.9708	0.006	-0.0645	0.124	0.6027
4370m	97m	0.9758	0.0077	-0.1775	0.1418	0.2106
4370m	a13m	1.	0.0127	0.0034	0.0624	0.9566
4370m	a1m	1.	0.0085	-0.0522	0.0899	0.5617
4370m	a21m	1.0195	0.007	-0.1357	0.1157	0.2409
4370m	a22m	1.0164	0.0081	-0.0354	0.0884	0.6891
4370m	a27m	0.9614	0.0222	-0.1233	0.1438	0.3915
4370m	a28m	0.9278	0.0171	-0.0262	0.1515	0.8627
4370m	a29m	1.0199	0.0085	-0.1289	0.0883	0.1443
4370m	a30m	0.9511	0.0076	0.0599	0.0629	0.3413
4370m	a7m	0.958	0.0079	0.1611	0.104	0.1215
4370m	a8m	1.039	0.0156	-0.0594	0.0742	0.4239
4370m	a9m	1.0066	0.0082	0.0168	0.0871	0.8467
4370m	ADr1um	0.9906	0.0278	-0.2104	0.3011	0.4848
4370m	bm1m	1.0095	0.0066	-0.1187	0.1683	0.4805
4370m	bm2m	0.9964	0.0083	-0.0931	0.1748	0.5943
4370m	bm4m	0.9948	0.0065	0.0595	0.1502	0.6919
4370m	bm5m	1.0056	0.0075	0.0308	0.108	0.7754
4370m	bm6m	0.9972	0.0077	0.0185	0.1048	0.8602
4370m	bm7m	1.004	0.0071	-0.0003	0.1205	0.998
4370m	bm8m	1.0133	0.0065	-0.1306	0.1672	0.4347
4370m	ch1m	0.9999	0.0067	-0.0125	0.1989	0.9499
4370m	ch4m	0.9968	0.0059	-0.1928	0.1587	0.2243
4370m	ch5m	1.0038	0.006	0.1389	0.2019	0.4915
4370m	ch6m	0.9914	0.0063	0.0254	0.1681	0.8797
4370m	l1m	1.0907	0.0357	0.0007	0.0449	0.9881
4370m	l2m	1.0624	0.0298	-0.0429	0.0686	0.5315
4370m	l3m	1.1044	0.0324	-0.0278	0.0551	0.6139
4370m	l4m	1.0586	0.0356	0.0743	0.063	0.2378
4370m	l5m	1.0769	0.0253	-0.0458	0.066	0.4882
4370m	r10m	0.9997	0.0084	0.098	0.202	0.6274
4370m	r4m	1.0183	0.0065	-0.176	0.133	0.1856
4370m	r5m	1.007	0.0113	-0.0292	0.0635	0.6459
4370m	r8m	1.0057	0.0074	-0.1216	0.0889	0.1711
4370m	r9m	0.996	0.0062	0.0754	0.1665	0.6505
4371f	4371f	1.0249	0.0087	1.0001	3.1177e-05	0.0
4371f	4374f	1.0185	0.0074	0.0788	0.1428	0.5811
4371f	48f	0.9716	0.008	-0.0447	0.0835	0.5927
4371f	51f	0.9787	0.0068	0.1328	0.1149	0.2476
4371f	96f	0.9581	0.0073	-0.252	0.1395	0.0709
4371f	99f	0.9828	0.0065	-0.0207	0.1895	0.913
4371f	a13f	0.9941	0.0093	0.0315	0.0965	0.744
4371f	a1f	1.0102	0.0081	0.0096	0.078	0.9025
4371f	a21f	0.9857	0.0083	0.1036	0.0886	0.2425
4371f	a22f	1.0196	0.0086	0.022	0.076	0.7722
4371f	a27f	0.9948	0.0283	-0.1568	0.115	0.1727
4371f	a28f	1.0075	0.0097	-0.2566	0.1889	0.1743
4371f	a29f	1.0181	0.0089	-0.0335	0.0739	0.6507
4371f	a30f	0.9518	0.0092	-0.0052	0.0664	0.9374
4371f	a7f	0.9529	0.008	0.0913	0.1116	0.4133
4371f	a8f	1.0484	0.0133	0.046	0.0718	0.5217
4371f	a9f	1.0575	0.0091	-0.1649	0.1498	0.271
4371f	ADr1uf	1.0112	0.0336	0.0487	0.3435	0.8872
4371f	bm1f	1.0065	0.0071	-0.1207	0.1953	0.5365
4371f	bm2f	0.9953	0.0075	-0.1316	0.1334	0.3236
4371f	bm4f	1.0067	0.007	-0.0316	0.175	0.8568
4371f	bm5f	1.0047	0.0074	0.1012	0.0984	0.3035
4371f	bm6f	1.007	0.0084	0.1666	0.1132	0.141
4371f	bm7f	1.0033	0.0079	0.1003	0.1064	0.3461
4371f	bm8f	0.9982	0.007	0.0632	0.117	0.5891
4371f	ch1f	0.9965	0.0066	-0.1822	0.1546	0.2386
4371f	ch4f	0.9974	0.0066	-0.0822	0.2051	0.6886
4371f	ch5f	0.994	0.0066	0.0721	0.1887	0.7024
4371f	ch6f	1.0018	0.0067	-0.0721	0.1763	0.6824
4371f	l1f	1.1214	0.0398	-0.0547	0.0546	0.3163
4371f	l2f	1.0814	0.0337	-0.0217	0.0546	0.6917
4371f	l3f	1.1234	0.0354	-0.0239	0.0519	0.6453
4371f	l4f	1.0962	0.0361	0.0945	0.0665	0.1552
4371f	l5f	1.0995	0.0336	-0.0066	0.0577	0.9096
4371f	r10f	0.9679	0.0089	-0.1646	0.1422	0.2469
4371f	r4f	0.9996	0.0064	0.1394	0.1035	0.1783
4371f	r5f	1.0581	0.0101	0.0969	0.0805	0.2286
4371f	r8f	0.9963	0.008	0.0554	0.0871	0.5251
4371f	r9f	1.0116	0.0068	-0.2047	0.1329	0.1236
4373m	4373m	0.9971	0.0072	1.0	4.9054e-07	0.0
4373m	4374f	1.018	0.0076	1.0473	0.1267	1.3819e-16
4373m	49m	0.9429	0.0066	0.0274	0.0795	0.7299
4373m	52m	0.9726	0.0061	-0.1035	0.0917	0.2589
4373m	97m	0.9755	0.0076	-0.0305	0.1077	0.777
4373m	a13m	0.9998	0.0127	-0.1054	0.0513	0.0398
4373m	a1m	0.9997	0.0086	-0.085	0.0718	0.2363
4373m	a21m	1.0197	0.007	-0.09	0.0944	0.3401
4373m	a22m	1.0175	0.0082	0.0395	0.0635	0.5335
4373m	a27m	0.9619	0.0229	0.0658	0.0856	0.4421
4373m	a28m	0.929	0.0169	-0.253	0.0983	0.01
4373m	a29m	1.021	0.0086	-0.0092	0.0573	0.8723
4373m	a30m	0.952	0.0076	-0.0458	0.0467	0.3272
4373m	a7m	0.9578	0.0077	0.001	0.0769	0.9901
4373m	a8m	1.0389	0.0154	-0.0722	0.0477	0.1297
4373m	a9m	1.0062	0.0082	0.1509	0.0675	0.0253
4373m	ADr1um	0.9914	0.0279	0.1937	0.2422	0.4238
4373m	bm1m	1.0093	0.0068	-0.0121	0.1132	0.9151
4373m	bm2m	0.9965	0.008	-0.088	0.1012	0.3844
4373m	bm4m	0.995	0.0066	0.1331	0.1285	0.3002
4373m	bm5m	1.0056	0.0074	-0.1033	0.0785	0.1883
4373m	bm6m	0.9973	0.0078	-0.0478	0.078	0.5403
4373m	bm7m	1.0037	0.0071	-0.0795	0.0788	0.313
4373m	bm8m	1.0127	0.0066	-0.0525	0.1275	0.6802
4373m	ch1m	0.9986	0.0067	0.2359	0.1233	0.0557
4373m	ch4m	0.9973	0.006	0.0758	0.1185	0.5227
4373m	ch5m	1.003	0.0061	0.2525	0.1374	0.0661
4373m	ch6m	0.9911	0.006	0.1599	0.1211	0.1868
4373m	l1m	1.0916	0.0363	0.0729	0.0405	0.0715
4373m	l2m	1.0637	0.0302	-0.0046	0.0473	0.9227
4373m	l3m	1.1052	0.0327	-0.0055	0.0455	0.9036
4373m	l4m	1.0593	0.0364	-0.0621	0.0408	0.1276
4373m	l5m	1.0775	0.0257	-0.0272	0.0478	0.5702
4373m	r10m	0.9998	0.0084	0.0904	0.1308	0.4893
4373m	r4m	1.0186	0.0065	-0.0416	0.09	0.6439
4373m	r5m	1.007	0.011	0.0637	0.0462	0.1677
4373m	r8m	1.0059	0.0073	-0.0178	0.0587	0.7616
4373m	r9m	0.9961	0.0061	-0.19	0.1011	0.0603
4374f	4374f	1.0182	0.0076	1.0	3.9722e-07	0.0
4374f	48f	0.9707	0.0079	0.0108	0.0717	0.8801
4374f	51f	0.9769	0.0065	-0.0584	0.1042	0.575
4374f	96f	0.9584	0.0076	-0.0834	0.1061	0.4318
4374f	99f	0.9818	0.0067	0.148	0.1539	0.3364
4374f	a13f	0.9951	0.0091	-0.0255	0.0835	0.7596
4374f	a1f	1.0099	0.0086	0.0077	0.0719	0.9144
4374f	a21f	0.9857	0.0079	-0.1466	0.0866	0.0903
4374f	a22f	1.0194	0.0079	0.0334	0.0592	0.5723
4374f	a27f	0.9902	0.0288	-0.0038	0.1124	0.9732
4374f	a28f	1.0072	0.0095	0.1436	0.1449	0.3217
