Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
144m	bm2m	0.9959	0.0078	0.0976	0.0655	0.1361
144m	bm4m	0.994	0.0066	0.2342	0.0742	0.0016
144m	bm5m	1.0064	0.0073	0.1328	0.0456	0.0036
144m	bm6m	0.9977	0.0085	0.1145	0.0461	0.013
144m	bm7m	1.0049	0.0081	0.1271	0.0498	0.0108
144m	bm8m	1.0105	0.007	-0.0577	0.0653	0.3772
144m	ch1m	0.9992	0.0073	-0.1884	0.0727	0.0095
144m	ch4m	0.9971	0.0064	-0.1637	0.0704	0.02
144m	ch5m	1.0035	0.0068	-0.2629	0.0976	0.0071
144m	ch6m	0.9882	0.0066	-0.1685	0.064	0.0085
144m	l1m	1.0854	0.0362	-0.4164	0.0242	3.4965e-66
144m	l2m	1.0571	0.0291	-0.0743	0.0246	0.0026
144m	l3m	1.0982	0.0332	-0.0972	0.0239	4.6315e-05
144m	l4m	1.0602	0.0325	0.3098	0.0293	4.0673e-26
144m	l5m	1.0698	0.0257	0.0634	0.0276	0.0216
144m	r10m	0.9965	0.0082	0.0341	0.0757	0.6527
144m	r4m	1.0162	0.0071	0.1412	0.0581	0.0151
144m	r5m	1.0046	0.0116	-0.0829	0.0276	0.0026
144m	r8m	1.0038	0.0078	0.1353	0.0389	0.0005
144m	r9m	0.9962	0.0064	0.1557	0.0561	0.0055
145f	145f	0.7357	0.0077	1.0	7.0591e-08	0.0
145f	153f	0.9335	0.0086	-0.0551	0.0368	0.135
145f	154f	0.9579	0.0076	-0.1707	0.0499	0.0006
145f	159f	0.8212	0.0076	0.8768	0.0117	0.0
145f	165f	0.8618	0.0079	0.0243	0.0284	0.3908
145f	171f	0.8154	0.0069	0.8997	0.0107	0.0
145f	177f	0.891	0.0081	-0.0745	0.0304	0.0143
145f	183f	0.8889	0.0082	0.4435	0.0359	4.4589e-35
145f	189f	0.9082	0.0088	-0.0974	0.0325	0.0027
145f	4213f	1.0004	0.0098	-0.0439	0.0683	0.52
145f	4371f	1.0248	0.0088	-0.0041	0.0669	0.9514
145f	4374f	1.0174	0.0077	-0.0073	0.048	0.8785
145f	48f	0.9733	0.0079	-0.2596	0.0297	2.5822e-18
145f	51f	0.9769	0.0067	0.0684	0.0354	0.0534
145f	96f	0.9584	0.0075	0.1634	0.0464	0.0004
145f	99f	0.9837	0.0066	-0.4519	0.0794	1.2743e-08
145f	a13f	0.9901	0.0087	0.2661	0.038	2.4712e-12
145f	a1f	1.0108	0.0085	0.1731	0.0313	3.0454e-08
145f	a21f	0.9835	0.0079	0.1175	0.0337	0.0005
145f	a22f	1.0241	0.008	0.3581	0.0256	1.8519e-44
145f	a27f	1.0259	0.0339	0.1526	0.0515	0.003
145f	a28f	1.0172	0.0096	0.5406	0.0738	2.3692e-13
145f	a29f	1.0207	0.0088	0.3247	0.0257	1.3260e-36
145f	a30f	0.953	0.0091	-0.2901	0.0239	5.6509e-34
145f	a7f	0.953	0.0083	-0.0975	0.0503	0.0524
145f	a8f	1.0524	0.0129	0.5541	0.0293	8.5279e-80
145f	a9f	1.0562	0.0087	0.2892	0.0624	3.6198e-06
145f	ADr1uf	1.0076	0.0305	-0.3302	0.3163	0.2965
145f	bm1f	1.0073	0.007	0.0387	0.0665	0.5605
145f	bm2f	0.9931	0.0074	-0.1082	0.049	0.0271
145f	bm4f	1.0058	0.0074	0.0701	0.0678	0.3009
145f	bm5f	1.0021	0.0078	-0.0034	0.0402	0.9324
145f	bm6f	1.0045	0.0091	-0.0037	0.0439	0.9328
145f	bm7f	1.0031	0.009	0.0061	0.0412	0.8826
145f	bm8f	0.9988	0.0075	0.0336	0.0483	0.4873
145f	ch1f	0.9989	0.0068	-0.175	0.0552	0.0015
145f	ch4f	0.9993	0.0067	-0.1137	0.0772	0.141
145f	ch5f	0.9944	0.007	-0.1973	0.0647	0.0023
145f	ch6f	1.0029	0.0071	-0.229	0.067	0.0006
145f	l1f	1.1119	0.035	-0.4407	0.0249	2.6427e-70
145f	l2f	1.0814	0.0294	0.1457	0.0232	3.2205e-10
145f	l3f	1.1226	0.0339	0.0314	0.0212	0.1385
145f	l4f	1.088	0.0312	0.3771	0.0283	1.8022e-40
145f	l5f	1.0956	0.0298	0.2174	0.0261	8.3620e-17
145f	r10f	0.965	0.0083	0.1477	0.0468	0.0016
145f	r4f	0.9969	0.0068	0.1239	0.0409	0.0024
145f	r5f	1.0533	0.0098	-0.0775	0.0295	0.0086
145f	r8f	0.9982	0.0075	0.0308	0.0329	0.3495
145f	r9f	1.009	0.0073	0.127	0.0535	0.0177
