gene	count	crossd
CYP2R1	1	Metabolic
CRY2	1	Metabolic
MAPK8IP1	1	Metabolic
PHF21A	1	Metabolic
CREB3L1	1	Metabolic
DGKZ	1	Metabolic
AMBRA1	1	Metabolic
ATG13	1	Metabolic
ARHGAP1	1	Metabolic
ZNF408	1	Metabolic
F2	1	Metabolic
CKAP5	1	Metabolic
LRP4	1	Metabolic
C11orf49	1	Metabolic
ARFGAP2	1	Metabolic
PACSIN3	1	Metabolic
DDB2	1	Metabolic
ACP2	1	Metabolic
NR1H3	1	Metabolic
MADD	1	Metabolic
MYBPC3	1	Metabolic
SPI1	1	Metabolic
SLC39A13	1	Metabolic
PSMC3	1	Metabolic
RAPSN	1	Metabolic
CELF1	1	Metabolic
PTPMT1	1	Metabolic
KBTBD4	1	Metabolic
NDUFS3	1	Metabolic
FAM180B	1	Metabolic
C1QTNF4	1	Metabolic
MTCH2	1	Metabolic
AGBL2	1	Metabolic
FNBP4	1	Metabolic
NUP160	1	Metabolic
PTPRJ	1	Metabolic
OR4B1	1	Metabolic
OR4X2	1	Metabolic
OR4X1	1	Metabolic
OR4S1	1	Metabolic
OR4C3	1	Metabolic
OR4A47	1	Metabolic
TRIM49B	1	Metabolic
TRIM64C	1	Metabolic
FOLH1	1	Metabolic
LOC101060256	1	Metabolic
OR4C13	1	Metabolic
OR4C12	1	Metabolic
OR4A5	1	Metabolic
OR4C46	1	Metabolic
TRIM48	1	Metabolic
OR4A16	1	Metabolic
OR4A15	1	Metabolic
OR4C15	1	Metabolic
OR4C16	1	Metabolic
OR4C6	1	Metabolic
OR5D13	1	Metabolic
OR5D14	1	Metabolic
OR5D16	1	Metabolic
TRIM51	1	Metabolic
OR5W2	1	Metabolic
OR5I1	1	Metabolic
OR10AG1	1	Metabolic
OR5F1	1	Metabolic
OR5AS1	1	Metabolic
OR8I2	1	Metabolic
OR8H2	1	Metabolic
OR8H3	1	Metabolic
OR8J3	1	Metabolic
OR8K5	1	Metabolic
OR5J2	1	Metabolic
OR5T2	1	Metabolic
OR5T3	1	Metabolic
OR5T1	1	Metabolic
OR8H1	1	Metabolic
OR8K3	1	Metabolic
OR8K1	1	Metabolic
OR8J1	1	Metabolic
OR8U1	1	Metabolic
OR5R1	1	Metabolic
OR5M9	1	Metabolic
OR5M3	1	Metabolic
OR5M8	1	Metabolic
OR5M11	1	Metabolic
OR5M10	1	Metabolic
OR5M1	1	Metabolic
OR5AP2	1	Metabolic
OR5AR1	1	Metabolic
OR9G1	1	Metabolic
OR9G4	1	Metabolic
MYRF	1	Metabolic
TMEM258	1	Metabolic
FEN1	1	Metabolic
FADS1	1	Metabolic
FADS2	1	Metabolic
FADS3	1	Metabolic
RAB3IL1	1	Metabolic
MACROD1	1	Metabolic
FLRT1	1	Metabolic
STIP1	1	Metabolic
FERMT3	1	Metabolic
TRPT1	1	Metabolic
PLCB3	1	Metabolic
CCDC88B	1	Metabolic
KCNK7	1	Metabolic
MAP3K11	1	Metabolic
PCNXL3	1	Metabolic
SIPA1	1	Metabolic
OVOL1	1	Metabolic
CCDC85B	1	Metabolic
GPR152	1	Metabolic
CPT1A	1	Metabolic
MRPL21	1	Metabolic
IGHMBP2	1	Metabolic
MOGAT2	1	Metabolic
DGAT2	1	Metabolic
UVRAG	1	Metabolic
ZC3H12C	1	Metabolic
LAYN	1	Metabolic
BUD13	1	Metabolic
ZPR1	1	Metabolic
APOA5	1	Metabolic
APOA4	1	Metabolic
APOC3	1	Metabolic
APOA1	1	Metabolic
SIK3	1	Metabolic
PAFAH1B2	1	Metabolic
SIDT2	1	Metabolic
TAGLN	1	Metabolic
PCSK7	1	Metabolic
RNF214	1	Metabolic
BACE1	1	Metabolic
CEP164	1	Metabolic
DSCAML1	1	Metabolic
HYOU1	1	Metabolic
VPS11	1	Metabolic
HMBS	1	Metabolic
DPAGT1	1	Metabolic
UBASH3B	1	Metabolic
DCPS	1	Metabolic
ST3GAL4	1	Metabolic
NOP2	1	Metabolic
SP1	1	Metabolic
AMHR2	1	Metabolic
NXPH4	1	Metabolic
SHMT2	1	Metabolic
NDUFA4L2	1	Metabolic
STAC3	1	Metabolic
R3HDM2	1	Metabolic
INHBC	1	Metabolic
INHBE	1	Metabolic
GLI1	1	Metabolic
ARHGAP9	1	Metabolic
ARHGEF25	1	Metabolic
SLC26A10	1	Metabolic
OS9	1	Metabolic
MARCH9	1	Metabolic
CYP27B1	1	Metabolic
METTL21B	1	Metabolic
TSFM	1	Metabolic
AVIL	1	Metabolic
MYO1H	1	Metabolic
KCTD10	1	Metabolic
UBE3B	1	Metabolic
MMAB	1	Metabolic
MVK	1	Metabolic
SH2B3	1	Metabolic
ATXN2	1	Metabolic
BRAP	1	Metabolic
ACAD10	1	Metabolic
ALDH2	1	Metabolic
NAA25	1	Metabolic
TRAFD1	1	Metabolic
HECTD4	1	Metabolic
RPL6	1	Metabolic
PTPN11	1	Metabolic
HNF1A	1	Metabolic
IL31	1	Metabolic
B3GNT4	1	Metabolic
CLIP1	1	Metabolic
ZCCHC8	1	Metabolic
KNTC1	1	Metabolic
HCAR2	1	Metabolic
HCAR3	1	Metabolic
HCAR1	1	Metabolic
DENR	1	Metabolic
CCDC62	1	Metabolic
HIP1R	1	Metabolic
VPS37B	1	Metabolic
ABCB9	1	Metabolic
OGFOD2	1	Metabolic
ARL6IP4	1	Metabolic
PITPNM2	1	Metabolic
MPHOSPH9	1	Metabolic
C12orf65	1	Metabolic
CDK2AP1	1	Metabolic
SBNO1	1	Metabolic
LOC100293704	1	Metabolic
SETD8	1	Metabolic
RILPL2	1	Metabolic
SNRNP35	1	Metabolic
RILPL1	1	Metabolic
GTF2H3	1	Metabolic
ATP6V0A2	1	Metabolic
DNAH10	1	Metabolic
CCDC92	1	Metabolic
ZNF664	1	Metabolic
ZNF664-FAM101A	1	Metabolic
SCARB1	1	Metabolic
UBC	1	Metabolic
ELMSAN1	1	Metabolic
AKT1	1	Metabolic
ZBTB42	1	Metabolic
PLA2G4F	1	Metabolic
VPS39	1	Metabolic
CAPN3	1	Metabolic
ZNF106	1	Metabolic
STARD9	1	Metabolic
TTBK2	1	Metabolic
UBR1	1	Metabolic
TGM7	1	Metabolic
LCMT2	1	Metabolic
ADAL	1	Metabolic
TUBGCP4	1	Metabolic
TP53BP1	1	Metabolic
MAP1A	1	Metabolic
PPIP5K1	1	Metabolic
STRC	1	Metabolic
CATSPER2	1	Metabolic
PDIA3	1	Metabolic
FRMD5	1	Metabolic
CASC4	1	Metabolic
CTDSPL2	1	Metabolic
EIF3J	1	Metabolic
SPG11	1	Metabolic
AQP9	1	Metabolic
LOC101928635	1	Metabolic
LIPC	1	Metabolic
ADAM10	1	Metabolic
TPM1	1	Metabolic
NTAN1	1	Metabolic
RRN3	1	Metabolic
TMEM219	1	Metabolic
TAOK2	1	Metabolic
HIRIP3	1	Metabolic
DOC2A	1	Metabolic
PRR14	1	Metabolic
FBRS	1	Metabolic
LOC730183	1	Metabolic
TMEM265	1	Metabolic
ZNF629	1	Metabolic
CTF1	1	Metabolic
FBXL19	1	Metabolic
SETD1A	1	Metabolic
STX1B	1	Metabolic
STX4	1	Metabolic
ZNF668	1	Metabolic
ZNF646	1	Metabolic
PRSS53	1	Metabolic
VKORC1	1	Metabolic
BCKDK	1	Metabolic
KAT8	1	Metabolic
PRSS8	1	Metabolic
CES5A	1	Metabolic
GNAO1	1	Metabolic
AMFR	1	Metabolic
NUDT21	1	Metabolic
OGFOD1	1	Metabolic
BBS2	1	Metabolic
MT4	1	Metabolic
MT3	1	Metabolic
MT2A	1	Metabolic
MT1E	1	Metabolic
MT1M	1	Metabolic
MT1A	1	Metabolic
MT1B	1	Metabolic
MT1F	1	Metabolic
MT1G	1	Metabolic
MT1H	1	Metabolic
MT1X	1	Metabolic
NUP93	1	Metabolic
SLC12A3	1	Metabolic
HERPUD1	1	Metabolic
CETP	1	Metabolic
NLRC5	1	Metabolic
CPNE2	1	Metabolic
FAM192A	1	Metabolic
RSPRY1	1	Metabolic
ARL2BP	1	Metabolic
PLLP	1	Metabolic
CCL22	1	Metabolic
CCL17	1	Metabolic
CIAPIN1	1	Metabolic
COQ9	1	Metabolic
POLR2C	1	Metabolic
CCDC102A	1	Metabolic
ADGRG5	1	Metabolic
CMTM3	1	Metabolic
CMTM4	1	Metabolic
CCDC79	1	Metabolic
PDP2	1	Metabolic
CDH16	1	Metabolic
RRAD	1	Metabolic
FAM96B	1	Metabolic
CES2	1	Metabolic
CES3	1	Metabolic
CES4A	1	Metabolic
CBFB	1	Metabolic
C16orf70	1	Metabolic
B3GNT9	1	Metabolic
TRADD	1	Metabolic
HSF4	1	Metabolic
NOL3	1	Metabolic
KIAA0895L	1	Metabolic
EXOC3L1	1	Metabolic
E2F4	1	Metabolic
ELMO3	1	Metabolic
LRRC29	1	Metabolic
TMEM208	1	Metabolic
FHOD1	1	Metabolic
SLC9A5	1	Metabolic
PLEKHG4	1	Metabolic
KCTD19	1	Metabolic
LRRC36	1	Metabolic
TPPP3	1	Metabolic
ZDHHC1	1	Metabolic
HSD11B2	1	Metabolic
ATP6V0D1	1	Metabolic
AGRP	1	Metabolic
FAM65A	1	Metabolic
CTCF	1	Metabolic
RLTPR	1	Metabolic
ACD	1	Metabolic
PARD6A	1	Metabolic
ENKD1	1	Metabolic
C16orf86	1	Metabolic
GFOD2	1	Metabolic
RANBP10	1	Metabolic
TSNAXIP1	1	Metabolic
CENPT	1	Metabolic
THAP11	1	Metabolic
NUTF2	1	Metabolic
EDC4	1	Metabolic
NRN1L	1	Metabolic
PSKH1	1	Metabolic
CTRL	1	Metabolic
PSMB10	1	Metabolic
LCAT	1	Metabolic
SLC12A4	1	Metabolic
DPEP3	1	Metabolic
DPEP2	1	Metabolic
DDX28	1	Metabolic
DUS2	1	Metabolic
NFATC3	1	Metabolic
ESRP2	1	Metabolic
PLA2G15	1	Metabolic
SLC7A6	1	Metabolic
SLC7A6OS	1	Metabolic
PRMT7	1	Metabolic
SMPD3	1	Metabolic
ZFP90	1	Metabolic
CDH1	1	Metabolic
TANGO6	1	Metabolic
VPS4A	1	Metabolic
COG8	1	Metabolic
NIP7	1	Metabolic
TMED6	1	Metabolic
TERF2	1	Metabolic
CMIP	1	Metabolic
TMEM102	1	Metabolic
FGF11	1	Metabolic
CHRNB1	1	Metabolic
TNFSF12	1	Metabolic
TNFSF12-TNFSF13	1	Metabolic
TNFSF13	1	Metabolic
SENP3	1	Metabolic
EIF4A1	1	Metabolic
CD68	1	Metabolic
MPDU1	1	Metabolic
SOX15	1	Metabolic
FXR2	1	Metabolic
SHBG	1	Metabolic
SAT2	1	Metabolic
ATP1B2	1	Metabolic
RPL19	1	Metabolic
LOC101929578	1	Metabolic
FBXL20	1	Metabolic
MED1	1	Metabolic
CDK12	1	Metabolic
NEUROD2	1	Metabolic
PPP1R1B	1	Metabolic
STARD3	1	Metabolic
TCAP	1	Metabolic
PNMT	1	Metabolic
PGAP3	1	Metabolic
ERBB2	1	Metabolic
