id	PMID	Year	File	Website	Consortium	Domain	ChapterLevel	SubchapterLevel	Trait	uniqTrait	Population	Ncase	Ncontrol	N	Genome	Nsnps	Nhits	SNPh2	SNPh2_se	SNPh2_z	SNPh2_l	SNPh2_l_se	LambdaGC	Chi2	Intercept	Note	DateAdded	DateLastModified	sex
151	26426971	2015	http://portals.broadinstitute.org/collaboration/giant/images/6/6f/WHRADJ.MEN.GT50.publicrelease.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist-hip ratio (male > 50 yrs, adjusted for BMI)	Waist-hip ratio	EUR	NA	NA	74324		2365256	3	0.1112	0.0126	8.825396825	NA	NA	1.0466	1.0582	0.9731	Discover phase.	7/4/2017	7/4/2017	male
127	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/f/fe/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HEIGHT_WOMEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Skeletal	Structures Related to Movement	Height	Height (female)	Height	EUR	NA	NA	73072	rsID	2743267	56	0.2363	0.0159	14.86163522	NA	NA	1.0466	1.1901	0.8376	Discover phases.	7/4/2017	7/4/2017	female
125	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/8/8d/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_BMI_WOMEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Body Mass Index (female)	Body Mass Index	EUR	NA	NA	72397	rsID	2731163	12	0.1744	0.0098	17.79591837	NA	NA	1.0466	1.0593	0.8276	Discover phases.	7/4/2017	7/4/2017	female
137	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/c/cc/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WEIGHT_WOMEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Weight (female)	Weight	EUR	NA	NA	72378	rsID	2159522	10	0.1852	0.0122	15.18032787	NA	NA	0.9986	1.0693	0.8235	Discover phases.	7/4/2017	7/4/2017	female
126	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/5/5c/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HEIGHT_MEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Skeletal	Structures Related to Movement	Height	Height (male)	Height	EUR	NA	NA	60588	rsID	2757639	43	0.2469	0.0157	15.72611465	NA	NA	1.0466	1.1464	0.8455	Discover phases.	7/4/2017	7/4/2017	male
124	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/3/30/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_BMI_MEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Body Mass Index (male)	Body Mass Index	EUR	NA	NA	60036	rsID	2731258	10	0.1532	0.0107	14.31775701	NA	NA	1.0466	1.0529	0.8758	Discover phases.	7/4/2017	7/4/2017	male
136	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/f/f8/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WEIGHT_MEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Weight (male)	Weight	EUR	NA	NA	60016	rsID	2755627	9	0.1839	0.0125	14.712	NA	NA	0.9986	1.0798	0.8684	Discover phases.	7/4/2017	7/4/2017	male
49	27798627	2016	http://sociogenome.com/material/GWASresults/AgeFirstBirth_Male.txt.gz	http://www.thessgac.org/data	SSGAC	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	Age at first birth (male)	Age at first birth	EUR	NA	NA	48408	hg19	2465140	0	0.1139	0.0101	11.27722772	NA	NA	1.0466	1.0488	0.9425	GWAS summry statistics (only male) excluding 23andMe cohort. The number of risk loci reported in the original study is 12 (from two phenotype, Age at first birth and Number of children ever borm).	2/21/2017	2/21/2017	male
1218	27911795	2016	https://grasp.nhlbi.nih.gov/downloads/ResultsFebruary2017/2016/2016_Schumann/women_dichotomous_alcohol.csv.gz	https://grasp.nhlbi.nih.gov/FullResults.aspx	AlcGen/CHARGE	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	Alcohol consumption (dichotomous, female)	Alcohol intake	EUR	NA	NA	47720	hg18	2477084	0	0.0114	0.0093	1.225806452	NA	NA	1.0105	1.0159	1.0052		7/10/2017	7/10/2017	female
133	23754948	2013	http://portals.broadinstitute.org/collaboration/giant/images/e/e7/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WC_WOMEN_N.txt	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist circumference (female)	Waist circumference	EUR	NA	NA	45192	rsID	2735342	2	0.15	0.0117	12.82051282	NA	NA	0.9986	1.0341	0.8965	Discover phases.	7/4/2017	7/4/2017	female
