sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	trait_name_clean	type
52m	52	Number of children ever born  (atlas)	Number of children ever born	103909	NA	NA	male	atlas	Number of children ever born	Number of children ever born  (atlas) [male]	27798627	Number of children ever born  (atlas) 27798627	51f 52m	52m 51f	Fertility	Number of children ever born	BIN
96f	96	Height SDS (at age 10) (atlas)	Height SDS	6974	NA	NA	female	atlas	Height SDS	Height SDS (at age 10) (atlas) [female]	23449627	Height SDS (atlas) 23449627	96f 97m	97m 96f	Antropometric	Height SDS	BIN
97m	97	Height SDS (at age 12) (atlas)	Height SDS	6986	NA	NA	male	atlas	Height SDS	Height SDS (at age 12) (atlas) [male]	23449627	Height SDS (atlas) 23449627	96f 97m	97m 96f	Antropometric	Height SDS	BIN
99f	99	Pubertal growth  (atlas)	Pubertal growth	5756	NA	NA	female	atlas	Pubertal growth	Pubertal growth  (atlas) [female]	23449627	Pubertal growth  (atlas) 23449627	100m 99f	100m 99f	Developmental	Pubertal growth	BIN
ADr1uf	ADr1u	Alzheimer's Disease (requested)	Alzheimer's Disease	352074	327486	24588	female	requested	Alzheimer's Disease	Alzheimer's Disease (requested) [female]	NA	Alzheimer's Disease (requested) NA	ADr1uf ADr1um	ADr1um ADr1uf	Disease	Alzheimer's Disease	QT
ADr1um	ADr1u	Alzheimer's Disease (requested)	Alzheimer's Disease	286959	268018	18941	male	requested	Alzheimer's Disease	Alzheimer's Disease (requested) [male]	NA	Alzheimer's Disease (requested) NA	ADr1uf ADr1um	ADr1um ADr1uf	Disease	Alzheimer's Disease	QT
a13f	a13	Cardiovascular disease (requested)	Cardiovascular disease	333496	310499	22997	female	requested	Cardiovascular disease	Cardiovascular disease (requested) [female]	36474045	Cardiovascular disease (requested) 36474045	a13f a13m	a13m a13f	Disease	Cardiovascular disease	QT
a13m	a13	Cardiovascular disease (requested)	Cardiovascular disease	294536	240453	54083	male	requested	Cardiovascular disease	Cardiovascular disease (requested) [male]	36474045	Cardiovascular disease (requested) 36474045	a13f a13m	a13m a13f	Disease	Cardiovascular disease	QT
a1f	a1	Insomnia (requested)	Insomnia	208958	141982	66976	female	requested	Insomnia	Insomnia (requested) [female]	35835914	Insomnia (requested) 35835914	a1f a1m	a1m a1f	Condition	Insomnia	QT
a1m	a1	Insomnia (requested)	Insomnia	178030	135458	42572	male	requested	Insomnia	Insomnia (requested) [male]	35835914	Insomnia (requested) 35835914	a1f a1m	a1m a1f	Condition	Insomnia	QT
a21f	a21	Grip strength measurement/ Muscle weakness (requested)	Grip strength measurement/ Muscle weakness	135468	100879	34589	female	requested	Grip strength measurement/ Muscle weakness	Grip strength measurement/ Muscle weakness (requested) [female]	33510174	Grip strength measurement/ Muscle weakness (requested) 33510174	a21f a21m	a21m a21f	Trait	Grip strength measurement/ Muscle weakness	QT
a21m	a21	Grip strength measurement/ Muscle weakness (requested)	Grip strength measurement/ Muscle weakness	121055	107048	14007	male	requested	Grip strength measurement/ Muscle weakness	Grip strength measurement/ Muscle weakness (requested) [male]	33510174	Grip strength measurement/ Muscle weakness (requested) 33510174	a21f a21m	a21m a21f	Trait	Grip strength measurement/ Muscle weakness	QT
a22f	a22	Snoring (requested)	Snoring	218346	156554	61792	female	requested	Snoring	Snoring (requested) [female]	32060260	Snoring (requested) 32060260	a22f a22m	a22m a22f	Condition	Snoring	QT
a22m	a22	Snoring (requested)	Snoring	189971	99165	90806	male	requested	Snoring	Snoring (requested) [male]	32060260	Snoring (requested) 32060260	a22f a22m	a22m a22f	Condition	Snoring	QT
a27f	a27	Fasting glucose (requested)	Fasting glucose	73089	NA	NA	female	requested	Fasting glucose	Fasting glucose (requested) [female]	33402679	Fasting glucose (requested) 33402679	a27f a27m	a27m a27f	Metabolic	Fasting glucose	BIN
a27m	a27	Fasting glucose (requested)	Fasting glucose	67506	NA	NA	male	requested	Fasting glucose	Fasting glucose (requested) [male]	33402679	Fasting glucose (requested) 33402679	a27f a27m	a27m a27f	Metabolic	Fasting glucose	BIN
a28f	a28	Fasting insulin (requested)	Fasting insulin	50404	NA	NA	female	requested	Fasting insulin	Fasting insulin (requested) [female]	33402679	Fasting insulin (requested) 33402679	a28f a28m	a28m a28f	Metabolic	Fasting insulin	BIN
a28m	a28	Fasting insulin (requested)	Fasting insulin	47806	NA	NA	male	requested	Fasting insulin	Fasting insulin (requested) [male]	33402679	Fasting insulin (requested) 33402679	a28f a28m	a28m a28f	Metabolic	Fasting insulin	BIN
a29f	a29	Multisite chronic pain (requested)	Multisite chronic pain	206093	NA	NA	female	requested	Multisite chronic pain	Multisite chronic pain (requested) [female]	33830993	Multisite chronic pain (requested) 33830993	a29f a29m	a29m a29f	Condition	Multisite chronic pain	BIN
a29m	a29	Multisite chronic pain (requested)	Multisite chronic pain	178556	NA	NA	male	requested	Multisite chronic pain	Multisite chronic pain (requested) [male]	33830993	Multisite chronic pain (requested) 33830993	a29f a29m	a29m a29f	Condition	Multisite chronic pain	BIN
a30f	a30	Educational attainment (requested)	Educational attainment	122427	NA	NA	female	requested	Educational attainment	Educational attainment (requested) [female]	27225129	Educational attainment (requested) 27225129	a30f a30m	a30m a30f	Behavioural	Educational attainment	BIN
a30m	a30	Educational attainment (requested)	Educational attainment	95140	NA	NA	male	requested	Educational attainment	Educational attainment (requested) [male]	27225129	Educational attainment (requested) 27225129	a30f a30m	a30m a30f	Behavioural	Educational attainment	BIN
a7f	a7	Parkinson's disease (requested)	Parkinson's disease	98609	90662	7947	female	requested	Parkinson's disease	Parkinson's disease (requested) [female]	33901317	Parkinson's disease (requested) 33901317	a7f a7m	a7m a7f	Disease	Parkinson's disease	QT
a7m	a7	Parkinson's disease (requested)	Parkinson's disease	102680	89660	13020	male	requested	Parkinson's disease	Parkinson's disease (requested) [male]	33901317	Parkinson's disease (requested) 33901317	a7f a7m	a7m a7f	Disease	Parkinson's disease	QT
a8f	a8	Type 2 diabetes (requested)	Type 2 diabetes	464389	434336	30053	female	requested	Type 2 diabetes	Type 2 diabetes (requested) [female]	30297969	Type 2 diabetes (requested) 30297969	a8f a8m	a8m a8f	Disease	Type 2 diabetes	QT
a8m	a8	Type 2 diabetes (requested)	Type 2 diabetes	425613	383767	41846	male	requested	Type 2 diabetes	Type 2 diabetes (requested) [male]	30297969	Type 2 diabetes (requested) 30297969	a8f a8m	a8m a8f	Disease	Type 2 diabetes	QT
a9f	a9	ADHD (requested)	ADHD	21191	16246	4945	female	requested	ADHD	ADHD (requested) [female]	29325848	ADHD (requested) 29325848	a9f a9m	a9m a9f	Disease	ADHD	QT
a9m	a9	ADHD (requested)	ADHD	32102	17948	14154	male	requested	ADHD	ADHD (requested) [male]	29325848	ADHD (requested) 29325848	a9f a9m	a9m a9f	Disease	ADHD	QT
bm1f	GCST90431455	Left PoI GM thikness (requested)	Left PoI GM thikness	16057	NA	NA	female	requested	Left PoI GM thikness	Left PoI GM thikness (requested) [female]	NA	Left PoI GM thikness (requested) NA	bm1f bm1m	bm1m bm1f	Anatomical	Left PoI GM thikness	BIN
bm1m	GCST90431815	Left PoI GM thikness (requested)	Left PoI GM thikness	14341	NA	NA	male	requested	Left PoI GM thikness	Left PoI GM thikness (requested) [male]	NA	Left PoI GM thikness (requested) NA	bm1f bm1m	bm1m bm1f	Anatomical	Left PoI GM thikness	BIN
bm2f	GCST90429884	Left 5m area (requested)	Left 5m area	15838	NA	NA	female	requested	Left 5m area	Left 5m area (requested) [female]	NA	Left 5m area (requested) NA	bm2f bm2m	bm2m bm2f	Anatomical	Left 5m area	BIN
bm2m	GCST90430244	Left 5m area (requested)	Left 5m area	14183	NA	NA	male	requested	Left 5m area	Left 5m area (requested) [male]	NA	Left 5m area (requested) NA	bm2f bm2m	bm2m bm2f	Anatomical	Left 5m area	BIN
bm4f	GCST90429850	Left MST area (requested)	Left MST area	15838	NA	NA	female	requested	Left MST area	Left MST area (requested) [female]	NA	Left MST area (requested) NA	bm4f bm4m	bm4m bm4f	Anatomical	Left MST area	BIN
bm4m	GCST90430210	Left MST area (requested)	Left MST area	14183	NA	NA	male	requested	Left MST area	Left MST area (requested) [male]	NA	Left MST area (requested) NA	bm4f bm4m	bm4m bm4f	Anatomical	Left MST area	BIN
bm5f	GCST90432012	Left Caudate (requested)	Left Caudate	15831	NA	NA	female	requested	Left Caudate	Left Caudate (requested) [female]	NA	Left Caudate (requested) NA	bm5f bm5m	bm5m bm5f	Anatomical	Left Caudate	BIN
bm5m	GCST90432035	Left Caudate (requested)	Left Caudate	14071	NA	NA	male	requested	Left Caudate	Left Caudate (requested) [male]	NA	Left Caudate (requested) NA	bm5f bm5m	bm5m bm5f	Anatomical	Left Caudate	BIN
bm6f	GCST90432013	Left Putamen (requested)	Left Putamen	15831	NA	NA	female	requested	Left Putamen	Left Putamen (requested) [female]	NA	Left Putamen (requested) NA	bm6f bm6m	bm6m bm6f	Anatomical	Left Putamen	BIN
bm6m	GCST90432036	Left Putamen (requested)	Left Putamen	14071	NA	NA	male	requested	Left Putamen	Left Putamen (requested) [male]	NA	Left Putamen (requested) NA	bm6f bm6m	bm6m bm6f	Anatomical	Left Putamen	BIN
bm7f	GCST90432022	Right Putamen (requested)	Right Putamen	15831	NA	NA	female	requested	Right Putamen	Right Putamen (requested) [female]	NA	Right Putamen (requested) NA	bm7f bm7m	bm7m bm7f	Anatomical	Right Putamen	BIN
bm7m	GCST90432045	Right Putamen (requested)	Right Putamen	14071	NA	NA	male	requested	Right Putamen	Right Putamen (requested) [male]	NA	Right Putamen (requested) NA	bm7f bm7m	bm7m bm7f	Anatomical	Right Putamen	BIN
bm8f	GCST90432029	CC Central (requested)	CC Central	15831	NA	NA	female	requested	CC Central	CC Central (requested) [female]	NA	CC Central (requested) NA	bm8f bm8m	bm8m bm8f	Anatomical	CC Central	BIN
bm8m	GCST90432052	CC Central (requested)	CC Central	14071	NA	NA	male	requested	CC Central	CC Central (requested) [male]	NA	CC Central (requested) NA	bm8f bm8m	bm8m bm8f	Anatomical	CC Central	BIN
l1f	l1	HDL (requested)	HDL	617211	NA	NA	female	requested	HDL	HDL (requested) [female]	36575460	HDL (requested) 36575460	l1f l1m	l1m l1f	Metabolic	HDL	BIN
l1m	l1	HDL (requested)	HDL	723018	NA	NA	male	requested	HDL	HDL (requested) [male]	36575460	HDL (requested) 36575460	l1f l1m	l1m l1f	Metabolic	HDL	BIN
l2f	l2	LDL (requested)	LDL	617211	NA	NA	female	requested	LDL	LDL (requested) [female]	36575460	LDL (requested) 36575460	l2f l2m	l2m l2f	Metabolic	LDL	BIN
l2m	l2	LDL (requested)	LDL	723018	NA	NA	male	requested	LDL	LDL (requested) [male]	36575460	LDL (requested) 36575460	l2f l2m	l2m l2f	Metabolic	LDL	BIN
l3f	l3	TC (requested)	TC	617211	NA	NA	female	requested	TC	TC (requested) [female]	36575460	TC (requested) 36575460	l3f l3m	l3m l3f	Metabolic	TC	BIN
l3m	l3	TC (requested)	TC	723018	NA	NA	male	requested	TC	TC (requested) [male]	36575460	TC (requested) 36575460	l3f l3m	l3m l3f	Metabolic	TC	BIN
l4f	l4	logTG (requested)	logTG	617211	NA	NA	female	requested	logTG	logTG (requested) [female]	36575460	logTG (requested) 36575460	l4f l4m	l4m l4f	Metabolic	logTG	BIN
l4m	l4	logTG (requested)	logTG	723018	NA	NA	male	requested	logTG	logTG (requested) [male]	36575460	logTG (requested) 36575460	l4f l4m	l4m l4f	Metabolic	logTG	BIN
l5f	l5	nonHDL (requested)	nonHDL	617211	NA	NA	female	requested	nonHDL	nonHDL (requested) [female]	36575460	nonHDL (requested) 36575460	l5f l5m	l5m l5f	Metabolic	nonHDL	BIN
l5m	l5	nonHDL (requested)	nonHDL	723018	NA	NA	male	requested	nonHDL	nonHDL (requested) [male]	36575460	nonHDL (requested) 36575460	l5f l5m	l5m l5f	Metabolic	nonHDL	BIN
r10f	r10	Major Depression (requested)	Major Depression	41937	19723	22214	female	requested	Major Depression	Major Depression (requested) [female]	31206164	Major Depression (requested) 31206164	r10f r10m	r10m r10f	Disease	Major Depression	QT
r10m	r10	Major Depression (requested)	Major Depression	28993	18799	10194	male	requested	Major Depression	Major Depression (requested) [male]	31206164	Major Depression (requested) 31206164	r10f r10m	r10m r10f	Disease	Major Depression	QT
r4f	r4	PTSD (requested)	PTSD	79846	NA	NA	female	requested	PTSD	PTSD (requested) [female]	31594949	PTSD (requested) 31594949	r4f r4m	r4m r4f	Disease	PTSD	BIN
r4m	r4	PTSD (requested)	PTSD	87532	NA	NA	male	requested	PTSD	PTSD (requested) [male]	31594949	PTSD (requested) 31594949	r4f r4m	r4m r4f	Disease	PTSD	BIN
r5f	r5	Schizophrenia (requested)	Schizophrenia	54663	36903	17760	female	requested	Schizophrenia	Schizophrenia (requested) [female]	35396580	Schizophrenia (requested) 35396580	r5f r5m	r5m r5f	Disease	Schizophrenia	QT
r5m	r5	Schizophrenia (requested)	Schizophrenia	68287	35190	33097	male	requested	Schizophrenia	Schizophrenia (requested) [male]	35396580	Schizophrenia (requested) 35396580	r5f r5m	r5m r5f	Disease	Schizophrenia	QT
r8f	r8	Risk-taking behaviour (requested)	Risk-taking behaviour	175963	143678	32285	female	requested	Risk-taking behaviour	Risk-taking behaviour (requested) [female]	30181555	Risk-taking behaviour (requested) 30181555	r8f r8m	r8m r8f	Behavioural	Risk-taking behaviour	QT
r8m	r8	Risk-taking behaviour (requested)	Risk-taking behaviour	152376	100984	51392	male	requested	Risk-taking behaviour	Risk-taking behaviour (requested) [male]	30181555	Risk-taking behaviour (requested) 30181555	r8f r8m	r8m r8f	Behavioural	Risk-taking behaviour	QT
r9f	r9	Carotid intima-media thickness (requested)	Carotid intima-media thickness	11471	NA	NA	female	requested	Carotid intima-media thickness	Carotid intima-media thickness (requested) [female]	31801372	Carotid intima-media thickness (requested) 31801372	r9f r9m	r9m r9f	Condition	Carotid intima-media thickness	BIN
r9m	r9	Carotid intima-media thickness (requested)	Carotid intima-media thickness	10708	NA	NA	male	requested	Carotid intima-media thickness	Carotid intima-media thickness (requested) [male]	31801372	Carotid intima-media thickness (requested) 31801372	r9f r9m	r9m r9f	Condition	Carotid intima-media thickness	BIN
