CODE NOM_CON_SNPS NOM_CON_SNPS_EMP_P NOM_VERBOSE MARG_CON_SNPS MARG_CON_SNPS_EMP_P MARG_VERBOSE SMALLEST_CON_P_EMP_P
137f:l4f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:l5f 143 0.000999 MORE 143 0.000999 MORE 0.000999
137f:r10f 0 1 NOT 0 1 NOT 0.691
137f:r4f 96 0.002 MORE 113 0.002 MORE 0.00799
137f:r5f 0 1 NOT 0 1 NOT 0.982
137f:r8f 0 1 NOT 0 1 NOT 0.532
137f:r9f 47 0.00799 MORE 58 0.012 MORE 0.005
144m:151m 106 0.000999 MORE 115 0.000999 MORE 0.00699
144m:152m 32 0.016 MORE 55 0.014 MORE 0.028
144m:157m 144 0.000999 MORE 144 0.000999 MORE 0.000999
144m:163m 0 1 NOT 0 1 NOT 0.503
144m:169m 144 0.000999 MORE 144 0.000999 MORE 0.000999
144m:175m 0 1 NOT 0 1 NOT 0.999
144m:181m 144 0.000999 MORE 144 0.000999 MORE 0.000999
144m:187m 41 0.024 MORE 54 0.029 MORE 0.039
144m:4370m 126 0.000999 MORE 128 0.000999 MORE 0.000999
144m:4373m 0 1 NOT 0 1 NOT 0.997
144m:49m 0 1 NOT 0 1 NOT 0.99
144m:52m 124 0.000999 MORE 130 0.000999 MORE 0.000999
144m:97m 144 0.000999 MORE 144 0.000999 MORE 0.000999
144m:a13m 144 0.000999 MORE 144 0.000999 MORE 0.000999
144m:a1m 112 0.000999 MORE 119 0.000999 MORE 0.00599
144m:a21m 0 1 NOT 0 1 NOT 0.677
144m:a22m 144 0.000999 MORE 144 0.000999 MORE 0.000999
144m:a27m 143 0.000999 MORE 143 0.000999 MORE 0.000999
144m:a28m 144 0.000999 MORE 144 0.000999 MORE 0.000999
144m:a29m 144 0.000999 MORE 144 0.000999 MORE 0.000999
144m:a30m 0 1 NOT 0 1 NOT 0.987
144m:a7m 0 1 NOT 0 1 NOT 0.997
144m:a8m 144 0.000999 MORE 144 0.000999 MORE 0.000999
144m:a9m 143 0.000999 MORE 144 0.000999 MORE 0.000999
144m:ADr1um 0 1 NOT 0 1 NOT 0.944
144m:bm1m 0 1 NOT 3 0.382 NOT 0.377
144m:bm2m 0 1 NOT 0 1 NOT 0.579
144m:bm4m 1 0.346 NOT 7 0.238 NOT 0.236
144m:bm5m 25 0.035 MORE 41 0.046 MORE 0.0959
144m:bm6m 18 0.0569 NOT 47 0.026 MORE 0.014
144m:bm7m 12 0.0779 NOT 38 0.031 MORE 0.00699
144m:bm8m 1 0.349 NOT 1 0.51 NOT 0.348
144m:ch1m 0 1 NOT 0 1 NOT 0.997
144m:ch4m 0 1 NOT 0 1 NOT 0.989
144m:ch5m 0 1 NOT 0 1 NOT 0.995
144m:ch6m 0 1 NOT 0 1 NOT 0.992
144m:l1m 0 1 NOT 0 1 NOT 0.988
144m:l2m 0 1 NOT 0 1 NOT 0.989
144m:l3m 0 1 NOT 0 1 NOT 0.991
144m:l4m 144 0.000999 MORE 144 0.000999 MORE 0.000999
144m:l5m 141 0.000999 MORE 142 0.000999 MORE 0.000999
144m:r10m 5 0.268 NOT 14 0.248 NOT 0.243
144m:r4m 128 0.000999 MORE 136 0.000999 MORE 0.000999
144m:r5m 0 1 NOT 0 1 NOT 0.985
144m:r8m 143 0.000999 MORE 143 0.000999 MORE 0.000999
144m:r9m 83 0.002 MORE 115 0.000999 MORE 0.002
145f:153f 62 0.004 MORE 78 0.00699 MORE 0.002
145f:154f 0 1 NOT 0 1 NOT 0.996
145f:159f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:165f 66 0.00799 MORE 85 0.00699 MORE 0.004
145f:171f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:177f 88 0.000999 MORE 93 0.003 MORE 0.002
145f:183f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:189f 15 0.0699 NOT 44 0.038 MORE 0.188
145f:4371f 140 0.000999 MORE 143 0.000999 MORE 0.000999
145f:4374f 0 1 NOT 0 1 NOT 0.998
145f:48f 0 1 NOT 0 1 NOT 0.991
145f:51f 142 0.000999 MORE 142 0.000999 MORE 0.000999
145f:96f 139 0.000999 MORE 141 0.000999 MORE 0.000999
145f:99f 0 1 NOT 0 1 NOT 0.995
145f:a13f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:a1f 138 0.000999 MORE 144 0.000999 MORE 0.000999
145f:a21f 103 0.002 MORE 115 0.000999 MORE 0.004
145f:a22f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:a27f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:a28f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:a29f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:a30f 0 1 NOT 0 1 NOT 0.991
145f:a7f 0 1 NOT 0 1 NOT 0.997
145f:a8f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:a9f 142 0.000999 MORE 144 0.000999 MORE 0.000999
145f:ADr1uf 0 1 NOT 0 1 NOT 0.993
145f:bm1f 11 0.0789 NOT 19 0.0989 NOT 0.029
145f:bm2f 1 0.339 NOT 3 0.378 NOT 0.288
145f:bm4f 0 1 NOT 0 1 NOT 0.675
145f:bm5f 0 1 NOT 0 1 NOT 0.561
145f:bm6f 0 1 NOT 1 0.514 NOT 0.421
145f:bm7f 0 1 NOT 0 1 NOT 0.903
145f:bm8f 0 1 NOT 0 1 NOT 0.963
145f:ch1f 0 1 NOT 0 1 NOT 0.994
145f:ch4f 0 1 NOT 0 1 NOT 0.831
145f:ch5f 0 1 NOT 0 1 NOT 0.995
145f:ch6f 0 1 NOT 0 1 NOT 0.995
145f:l1f 0 1 NOT 0 1 NOT 0.987
145f:l2f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:l3f 109 0.000999 MORE 110 0.000999 MORE 0.000999
145f:l4f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:l5f 144 0.000999 MORE 144 0.000999 MORE 0.000999
145f:r10f 133 0.000999 MORE 139 0.000999 MORE 0.002
145f:r4f 143 0.000999 MORE 143 0.000999 MORE 0.000999
145f:r5f 0 1 NOT 0 1 NOT 0.996
145f:r8f 3 0.212 NOT 9 0.199 NOT 0.26
145f:r9f 4 0.183 NOT 15 0.136 NOT 0.202
151m:157m 0 1 NOT 0 1 NOT 0.994
151m:163m 0 1 NOT 0 1 NOT 0.995
151m:169m 144 0.000999 MORE 144 0.000999 MORE 0.000999
151m:175m 144 0.000999 MORE 144 0.000999 MORE 0.000999
151m:181m 144 0.000999 MORE 144 0.000999 MORE 0.000999
151m:187m 144 0.000999 MORE 144 0.000999 MORE 0.000999
151m:4370m 0 1 NOT 0 1 NOT 0.995
151m:4373m 116 0.000999 MORE 127 0.000999 MORE 0.000999
151m:49m 0 1 NOT 0 1 NOT 0.998
151m:52m 0 1 NOT 0 1 NOT 0.743
151m:97m 0 1 NOT 0 1 NOT 0.97
151m:a13m 136 0.000999 MORE 139 0.000999 MORE 0.000999
151m:a1m 5 0.177 NOT 17 0.126 NOT 0.0619
151m:a21m 121 0.000999 MORE 124 0.000999 MORE 0.000999
151m:a22m 33 0.026 MORE 47 0.04 MORE 0.046
151m:a27m 112 0.000999 MORE 117 0.000999 MORE 0.000999
151m:a28m 142 0.174 NOT 142 0.174 NOT 0.174
151m:a29m 120 0.000999 MORE 120 0.000999 MORE 0.000999
151m:a30m 0 1 NOT 0 1 NOT 0.998
151m:a7m 2 0.264 NOT 5 0.3 NOT 0.305
151m:a8m 143 0.000999 MORE 143 0.000999 MORE 0.000999
151m:a9m 112 0.000999 MORE 121 0.000999 MORE 0.000999
151m:ADr1um 0 1 NOT 0 1 NOT 0.99
151m:bm1m 0 1 NOT 0 1 NOT 0.97
151m:bm2m 0 1 NOT 0 1 NOT 0.499
151m:bm4m 0 1 NOT 1 0.522 NOT 0.518
151m:bm5m 0 1 NOT 0 1 NOT 0.968
151m:bm6m 0 1 NOT 0 1 NOT 0.586
151m:bm7m 0 1 NOT 0 1 NOT 0.948
151m:bm8m 8 0.117 NOT 27 0.0759 NOT 0.21
151m:ch1m 0 1 NOT 0 1 NOT 0.967
151m:ch4m 0 1 NOT 0 1 NOT 0.976
151m:ch5m 0 1 NOT 0 1 NOT 0.741
151m:ch6m 0 1 NOT 0 1 NOT 0.716
151m:l1m 0 1 NOT 0 1 NOT 0.993
151m:l2m 77 0.002 MORE 88 0.005 MORE 0.025
151m:l3m 98 0.003 MORE 106 0.005 MORE 0.002
151m:l4m 144 0.000999 MORE 144 0.000999 MORE 0.000999
151m:l5m 133 0.000999 MORE 133 0.000999 MORE 0.000999
151m:r10m 6 0.142 NOT 10 0.182 NOT 0.19
151m:r4m 0 1 NOT 0 1 NOT 0.698
151m:r5m 0 1 NOT 10 0.231 NOT 0.364
151m:r8m 26 0.029 MORE 58 0.024 MORE 0.0969
151m:r9m 5 0.158 NOT 11 0.167 NOT 0.0749
152m:157m 0 1 NOT 0 1 NOT 0.999
152m:163m 0 1 NOT 0 1 NOT 0.998
152m:169m 144 0.000999 MORE 144 0.000999 MORE 0.000999
152m:175m 144 0.000999 MORE 144 0.000999 MORE 0.000999
152m:181m 144 0.000999 MORE 144 0.000999 MORE 0.000999
152m:187m 144 0.000999 MORE 144 0.000999 MORE 0.000999
152m:4370m 0 1 NOT 0 1 NOT 0.522
152m:4373m 0 1 NOT 0 1 NOT 0.741
152m:49m 0 1 NOT 0 1 NOT 0.999
152m:52m 1 0.352 NOT 2 0.438 NOT 0.303
152m:97m 0 1 NOT 2 0.438 NOT 0.434
152m:a13m 122 0.000999 MORE 124 0.000999 MORE 0.000999
152m:a1m 36 0.022 MORE 73 0.011 MORE 0.126
152m:a21m 109 0.000999 MORE 120 0.000999 MORE 0.000999
152m:a22m 15 0.0589 NOT 31 0.049 MORE 0.015
152m:a27m 74 0.909 NOT 87 0.909 NOT 0.909
152m:a28m 143 0.999 NOT 143 0.999 NOT 0.999
152m:a29m 114 0.002 MORE 129 0.000999 MORE 0.00699
152m:a30m 0 1 NOT 0 1 NOT 0.998
152m:a7m 0 1 NOT 1 0.524 NOT 0.514
152m:a8m 144 0.000999 MORE 144 0.000999 MORE 0.000999
152m:a9m 103 0.000999 MORE 114 0.000999 MORE 0.012
152m:ADr1um 0 1 NOT 0 1 NOT 0.972
152m:bm1m 0 1 NOT 4 0.323 NOT 0.394
152m:bm2m 8 0.122 NOT 25 0.0819 NOT 0.249
152m:bm4m 20 0.038 MORE 46 0.027 MORE 0.15
152m:bm5m 1 0.309 NOT 5 0.286 NOT 0.285
152m:bm6m 0 1 NOT 0 1 NOT 0.833
152m:bm7m 0 1 NOT 0 1 NOT 0.804
152m:bm8m 0 1 NOT 0 1 NOT 0.93
152m:ch1m 0 1 NOT 0 1 NOT 0.659
152m:ch4m 0 1 NOT 0 1 NOT 0.889
152m:ch5m 0 1 NOT 0 1 NOT 0.556
152m:ch6m 1 0.347 NOT 4 0.34 NOT 0.129
152m:l1m 0 1 NOT 0 1 NOT 0.989
152m:l2m 54 0.012 MORE 78 0.00899 MORE 0.022
152m:l3m 83 0.002 MORE 93 0.002 MORE 0.002
152m:l4m 144 0.000999 MORE 144 0.000999 MORE 0.000999
152m:l5m 141 0.000999 MORE 141 0.000999 MORE 0.000999
152m:r10m 20 0.0609 NOT 35 0.0699 NOT 0.196
152m:r4m 1 0.332 NOT 4 0.329 NOT 0.284
152m:r5m 10 0.104 NOT 32 0.0739 NOT 0.147
152m:r8m 9 0.0979 NOT 20 0.0999 NOT 0.039
152m:r9m 0 1 NOT 0 1 NOT 0.872
153f:154f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:159f 0 1 NOT 0 1 NOT 0.995
153f:165f 0 1 NOT 0 1 NOT 0.991
153f:171f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:177f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:183f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:189f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:4371f 1 0.348 NOT 8 0.229 NOT 0.261
153f:4374f 0 1 NOT 0 1 NOT 0.996
153f:48f 0 1 NOT 0 1 NOT 0.968
153f:51f 37 0.013 MORE 58 0.016 MORE 0.011
153f:96f 0 1 NOT 0 1 NOT 0.623
153f:99f 17 0.0629 NOT 21 0.0999 NOT 0.126
153f:a13f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:a1f 121 0.000999 MORE 132 0.000999 MORE 0.018
153f:a21f 16 0.0599 NOT 44 0.037 MORE 0.198
153f:a22f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:a27f 142 0.000999 MORE 144 0.000999 MORE 0.000999
153f:a28f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:a29f 104 0.000999 MORE 108 0.002 MORE 0.004
153f:a30f 0 1 NOT 0 1 NOT 0.996
