CODE NOM_NUM_PLEIO_SUBSETS NOM_NUM_PLEIO_SUBSETS_EMP_P NOM_VERBOSE MARG_NUM_PLEIO_SUBSETS MARG_NUM_PLEIO_SUBSETS_EMP_P MARG_VERBOSE SMALLEST_PLEIO_P_EMP_P
136m:144m 111 0.000999 MORE 115 0.000999 MORE 0.000999
136m:151m 10 0.000999 MORE 19 0.000999 MORE 0.002
136m:152m 13 0.000999 MORE 22 0.000999 MORE 0.00799
136m:157m 107 0.000999 MORE 108 0.000999 MORE 0.000999
136m:163m 60 0.000999 MORE 64 0.000999 MORE 0.000999
136m:169m 106 0.000999 MORE 106 0.000999 MORE 0.000999
136m:175m 60 0.000999 MORE 66 0.000999 MORE 0.000999
136m:181m 80 0.000999 MORE 88 0.000999 MORE 0.000999
136m:187m 20 0.000999 MORE 23 0.000999 MORE 0.000999
136m:4370m 2 0.0939 NOT 2 0.214 NOT 0.016
136m:4373m 12 0.003 MORE 15 0.003 MORE 0.00799
136m:49m 0 1 NOT 0 1 NOT 0.501
136m:52m 2 0.0889 NOT 4 0.0909 NOT 0.126
136m:97m 26 0.000999 MORE 33 0.000999 MORE 0.000999
136m:a13m 14 0.000999 MORE 19 0.000999 MORE 0.000999
136m:a1m 8 0.00899 MORE 14 0.005 MORE 0.000999
136m:a21m 4 0.031 MORE 11 0.00699 MORE 0.0809
136m:a22m 12 0.002 MORE 15 0.003 MORE 0.000999
136m:a27m 26 0.000999 MORE 31 0.000999 MORE 0.002
136m:a28m 61 0.918 NOT 68 0.918 NOT 0.918
136m:a29m 12 0.000999 MORE 13 0.004 MORE 0.002
136m:a30m 25 0.000999 MORE 31 0.000999 MORE 0.000999
136m:a7m 25 0.000999 MORE 30 0.000999 MORE 0.000999
136m:a8m 47 0.000999 MORE 61 0.000999 MORE 0.000999
136m:a9m 8 0.005 MORE 15 0.003 MORE 0.000999
136m:ADr1um 10 0.004 MORE 13 0.004 MORE 0.014
136m:bm1m 1 0.214 NOT 4 0.104 NOT 0.158
136m:bm2m 2 0.0979 NOT 3 0.146 NOT 0.156
136m:bm4m 5 0.022 MORE 9 0.018 MORE 0.042
136m:bm5m 0 1 NOT 2 0.223 NOT 0.295
136m:bm6m 10 0.003 MORE 14 0.004 MORE 0.023
136m:bm7m 14 0.002 MORE 17 0.002 MORE 0.003
136m:bm8m 2 0.0929 NOT 4 0.0969 NOT 0.131
136m:ch1m 0 1 NOT 1 0.382 NOT 0.294
136m:ch4m 2 0.0969 NOT 2 0.226 NOT 0.0899
136m:ch5m 0 1 NOT 0 1 NOT 0.404
136m:ch6m 2 0.0859 NOT 4 0.0859 NOT 0.0539
136m:l1m 53 0.000999 MORE 59 0.000999 MORE 0.000999
136m:l2m 31 0.000999 MORE 34 0.000999 MORE 0.000999
136m:l3m 33 0.000999 MORE 41 0.000999 MORE 0.000999
136m:l4m 42 0.000999 MORE 49 0.000999 MORE 0.000999
136m:l5m 17 0.000999 MORE 21 0.000999 MORE 0.000999
136m:r10m 1 0.206 NOT 3 0.147 NOT 0.167
136m:r4m 17 0.000999 MORE 28 0.000999 MORE 0.002
136m:r5m 10 0.000999 MORE 21 0.000999 MORE 0.00599
136m:r8m 15 0.000999 MORE 23 0.000999 MORE 0.000999
136m:r9m 3 0.048 MORE 5 0.0599 NOT 0.0679
137f:145f 115 0.000999 MORE 117 0.000999 MORE 0.000999
137f:153f 20 0.000999 MORE 27 0.000999 MORE 0.012
137f:154f 3 0.042 MORE 7 0.019 MORE 0.0509
