pair shared single distinct
ADr1um:l3m 1 0 1
ADr1um:l4m 1 0 1
ADr1um:l5m 1 0 1
ADr1um:r9m 1 0 1
bm2f:bm4f 49 0 49
bm2f:l1f 391 0 391
bm2f:l2f 289 0 289
bm2f:l3f 339 0 339
bm2f:l4f 363 0 363
bm2f:l5f 283 0 283
bm2f:r5f 26 0 26
bm2m:bm8m 716 0 716
bm2m:l1m 377 0 377
bm2m:l3m 328 0 328
bm2m:l4m 227 0 227
bm2m:l5m 211 0 211
bm2m:r5m 106 0 106
bm4f:l1f 394 0 394
bm4f:l2f 294 0 294
bm4f:l3f 350 0 350
bm4f:l4f 366 0 366
bm4f:l5f 289 0 289
bm4m:l1m 371 0 371
bm4m:l2m 274 0 274
bm4m:l3m 335 0 335
bm4m:l4m 319 0 319
bm4m:l5m 208 0 208
bm4m:r5m 89 0 89
bm5m:l4m 267 0 267
bm6f:l3f 21 0 21
bm6f:l4f 302 0 302
bm6m:l4m 264 0 264
bm7f:l3f 5 0 5
bm7f:l4f 297 0 297
bm7m:l4m 266 0 266
bm8f:l1f 390 0 390
bm8f:l3f 345 0 345
bm8f:l4f 364 0 364
bm8f:r5f 33 0 33
bm8m:l4m 325 0 325
bm8m:r5m 105 0 105
l1f:l2f 134 0 134
l1f:l3f 128 0 128
l1f:l4f 129 0 129
l1f:l5f 118 0 118
l1f:r5f 10 0 10
l1m:l2m 117 0 117
l1m:l3m 131 0 131
l1m:l4m 151 0 151
l1m:l5m 105 0 105
l1m:r5m 41 0 41
l1m:r8m 1 0 1
l1m:r9m 1 0 1
l2f:l5f 78 0 78
l2f:r5f 9 0 9
l2m:l5m 7 1 6
l2m:r5m 26 0 26
l3f:r5f 9 0 9
l3m:r5m 25 0 25
l4f:r5f 10 0 10
l4m:r5m 36 0 36
l4m:r9m 1 0 1
l5f:r5f 6 0 6
l5m:r5m 23 0 23
